Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
335,175,315,4,-1.52029049030045
335,175,315,4.0075,-2.5035898733209
335,175,315,4.015,2.82178232519367
335,175,315,4.0225,1.79929915907593
335,175,315,4.03,0.822187987917019
335,175,315,4.0375,-0.107902384224986
335,175,315,4.045,-1.13273351563663
335,175,315,4.0525,-2.01995212202643
335,175,315,4.06,-2.88904307585777
335,175,315,4.0675,2.48233997369906
335,175,315,4.075,1.58746210045743
335,175,315,4.0825,0.639100472761311
335,175,315,4.09,-0.413492423082691
335,175,315,4.0975,-1.39124287783051
335,175,315,4.105,-2.26299273977717
335,175,315,4.1125,3.01579017157463
335,175,315,4.12,2.04141119265878
335,175,315,4.1275,1.01198593514535
335,175,315,4.135,0.134221027183305
335,175,315,4.1425,-0.750043062154434
335,175,315,4.15,-1.58436234381017
335,175,315,4.1575,-2.41676648822481
335,175,315,4.165,2.92254141070768
335,175,315,4.1725,2.18658096649879
335,175,315,4.18,1.35937851369696
335,175,315,4.1875,0.615582964564015
335,175,315,4.195,-0.441578110286938
335,175,315,4.2025,-1.28253396422812
335,175,315,4.21,-2.68076599065389
335,175,315,4.2175,-2.64997407369271
335,175,315,4.225,2.88350159664822
335,175,315,4.2325,2.37103544980093
335,175,315,4.24,1.5098885430433
335,175,315,4.2475,0.180305132771924
335,175,315,4.255,-0.48783020802919
335,175,315,4.2625,-1.34501442547842
335,175,315,4.27,-2.53314758340926
335,175,315,4.2775,2.81216776137932
335,175,315,4.285,1.82142267105714
335,175,315,4.2925,0.863164586185633
335,175,315,4.3,0.0303563564015717
335,175,315,4.3075,-0.747669279253154
335,175,315,4.315,-1.87763320099842
335,175,315,4.3225,-2.89454799438499
335,175,315,4.33,2.51762978076911
335,175,315,4.3375,1.41375234617366
335,175,315,4.345,0.409266618224994
335,175,315,4.3525,-0.688397322592062
335,175,315,4.36,-1.78375939871017
335,175,315,4.3675,-2.84133024643235
335,175,315,4.375,2.38902575978932
335,175,315,4.3825,1.51509058150448
335,175,315,4.39,0.391458143653606
335,175,315,4.3975,-0.447131184392411
335,175,315,4.405,-1.48317971751069
335,175,315,4.4125,-2.64798556461763
335,175,315,4.42,2.83167425575895
335,175,315,4.4275,1.76374005415896
335,175,315,4.435,1.00805557247005
335,175,315,4.4425,0.261200846567007
335,175,315,4.45,0.0217558944595755
335,175,315,4.4575,0.367885684196425
335,175,315,4.465,-0.0559961952565828
335,175,315,4.4725,-1.22556022434885
335,175,315,4.48,-2.06041559186263
335,175,315,4.4875,3.12584914107049
335,175,315,4.495,2.23884166741898
335,175,315,4.5025,1.17532078345037
335,175,315,4.51,0.12549389145712
335,175,315,4.5175,-0.825780781045913
335,175,315,4.525,-1.82984204222831
335,175,315,4.5325,-2.87591408216065
335,175,315,4.54,2.51605773732568
335,175,315,4.5475,1.42157384630816
335,175,315,4.555,0.465964902121355
335,175,315,4.5625,-0.3909869075736
335,175,315,4.57,-1.44861973039187
335,175,315,4.5775,-2.58005663587333
335,175,315,4.585,2.78667949341685
335,175,315,4.5925,1.76932121134728
335,175,315,4.6,0.725311180717549
335,175,315,4.6075,-0.37543168517629
335,175,315,4.615,-1.41886704387046
335,175,315,4.6225,-2.45645819783568
335,175,315,4.63,2.8053287812527
335,175,315,4.6375,1.63484188343334
335,175,315,4.645,0.691214896272634
335,175,315,4.6525,-0.62111539374947
335,175,315,4.66,-0.167830294560513
335,175,315,4.6675,-1.10218523149846
335,175,315,4.675,-2.77599578451992
335,175,315,4.6825,-2.77087187982586
335,175,315,4.69,-2.71072265383981
335,175,315,4.6975,2.30412715082627
335,175,315,4.705,1.9391970198778
335,175,315,4.7125,0.726464875116941
335,175,315,4.72,0.257897650875267
335,175,315,4.7275,-0.561938536271198
335,175,315,4.735,-1.53769460893659
335,175,315,4.7425,-2.7169895807044
335,175,315,4.75,2.75895548275586
335,175,315,4.7575,1.63176389506742
335,175,315,4.765,0.83055432040823
335,175,315,4.7725,-0.336155954621166
335,175,315,4.78,-1.14709770970108
335,175,315,4.7875,-1.97460568378809
335,175,315,4.795,-2.98835775446841
335,175,315,4.8025,2.11251940285641
335,175,315,4.81,1.23681827229476
335,175,315,4.8175,0.381069165552519
335,175,315,4.825,-0.723455328348511
335,175,315,4.8325,-1.72714741961953
335,175,315,4.84,-2.93049152226405
335,175,315,4.8475,2.39944207349507
335,175,315,4.855,1.26460855234653
335,175,315,4.8625,0.251559510103437
335,175,315,4.87,-0.663655110839797
335,175,315,4.8775,-1.83628709871548
335,175,315,4.885,-2.82485484173595
335,175,315,4.8925,2.60423955599911
335,175,315,4.9,1.10637132181545
335,175,315,4.9075,0.683824879153998
335,175,315,4.915,-0.509392240796273
335,175,315,4.9225,-0.860967383006021
335,175,315,4.93,-2.043010515227
335,175,315,4.9375,2.93549922001169
335,175,315,4.945,1.36769627435312
335,175,315,4.9525,-0.630893520110025
335,175,315,4.96,-1.51440883617819
335,175,315,4.9675,2.71833862896303
335,175,315,4.975,2.25191125761211
335,175,315,4.9825,0.757308786255932
335,175,315,4.99,0.0194654581104994
335,175,315,4.9975,-1.3466811422398
335,175,315,5.005,-2.50299074429549
335,175,315,5.0125,3.11266541311874
335,175,315,5.02,1.78626783425363
335,175,315,5.0275,0.86759545084793
335,175,315,5.035,-0.281877548114724
335,175,315,5.0425,-1.52936665592262
335,175,315,5.05,-2.3402845017662
335,175,315,5.0575,3.04891466668107
335,175,315,5.065,2.00783229985618
335,175,315,5.0725,1.12999725251983
335,175,315,5.08,0.00424273336057635
335,175,315,5.0875,-1.05565753037466
335,175,315,5.095,-2.07324728109981
335,175,315,5.1025,3.10272348221524
335,175,315,5.11,2.17138178338185
335,175,315,5.1175,1.18877302604336
335,175,315,5.125,0.321682668189024
335,175,315,5.1325,-0.874622201600994
335,175,315,5.14,-1.82622940052308
335,175,315,5.1475,-2.85045150414815
335,175,315,5.155,2.57827068787293
335,175,315,5.1625,1.47075612368303
335,175,315,5.17,0.48415585004947
335,175,315,5.1775,-0.765308375702764
335,175,315,5.185,-1.9191647220157
335,175,315,5.1925,-3.09130716010398
335,175,315,5.2,1.95311485651955
335,175,315,5.2075,0.736801994829418
335,175,315,5.215,-0.823992533861571
335,175,315,5.2225,-1.97570871085042
335,175,315,5.23,2.68090213001265
335,175,315,5.2375,1.82713198632323
335,175,315,5.245,0.769638632552418
335,175,315,5.2525,-0.268665290802684
335,175,315,5.26,-1.22928010655485
335,175,315,5.2675,-2.31009028219853
335,175,315,5.275,2.90524883001219
335,175,315,5.2825,1.68038547852868
335,175,315,5.29,0.717168881071436
335,175,315,5.2975,-0.275206788343665
335,175,315,5.305,-1.31855303356171
335,175,315,5.3125,-2.41310446612521
335,175,315,5.32,2.91404486410208
335,175,315,5.3275,1.82379065986974
335,175,315,5.335,0.751796396789268
335,175,315,5.3425,0.027076825361868
335,175,315,5.35,-0.850857913643935
335,175,315,5.3575,-1.72793276517096
335,175,315,5.365,-2.73010785647602
335,175,315,5.3725,2.60563373674535
335,175,315,5.38,1.43173567432114
335,175,315,5.3875,0.677332645053492
335,175,315,5.395,-0.326334513121791
335,175,315,5.4025,-1.6854206629315
335,175,315,5.41,-2.74242910077891
335,175,315,5.4175,2.92594492097388
335,175,315,5.425,1.33448442273492
335,175,315,5.4325,0.35417132256143
335,175,315,5.44,-1.06474784793131
335,175,315,5.4475,2.52101707916761
335,175,315,5.455,2.7989672100458
335,175,315,5.4625,-0.624779718305787
335,175,315,5.47,-0.98848132301251
335,175,315,5.4775,-2.06139415752535
335,175,315,5.485,-3.0546468188413
335,175,315,5.4925,2.3170638110467
335,175,315,5.5,0.751502405666526
335,175,315,5.5075,-0.168520735614664
335,175,315,5.515,-0.424240592841458
335,175,315,5.5225,-1.59519075236803
335,175,315,5.53,-2.37496429628435
335,175,315,5.5375,2.6409716953112
335,175,315,5.545,1.76181688439069
335,175,315,5.5525,0.672313950342452
335,175,315,5.56,-0.307902306810402
335,175,315,5.5675,-1.44624633833465
335,175,315,5.575,-2.29319638404167
335,175,315,5.5825,-3.09479934676934
335,175,315,5.59,1.90870280784882
335,175,315,5.5975,1.10274977674513
335,175,315,5.605,-0.121465542840703
335,175,315,5.6125,-1.08597660275531
335,175,315,5.62,-2.12675583553093
335,175,315,5.6275,2.94987690711723
335,175,315,5.635,1.88395223338199
335,175,315,5.6425,0.851913881379834
335,175,315,5.65,-0.227576119834864
335,175,315,5.6575,-1.49609590365111
335,175,315,5.665,-2.8386481579985
335,175,315,5.6725,2.39224350358657
335,175,315,5.68,1.21396639145595
335,175,315,5.6875,-0.276876075564056
335,175,315,5.695,-2.11292220170076
335,175,315,5.7025,3.13224354213034
335,175,315,5.71,1.95760354458592
335,175,315,5.7175,0.326926121913434
335,175,315,5.725,-0.444308215289212
335,175,315,5.7325,-1.52478136420323
335,175,315,5.74,-2.76925895912947
335,175,315,5.7475,2.51146048097665
335,175,315,5.755,1.55771159540992
335,175,315,5.7625,0.49890680715845
335,175,315,5.77,-0.428031504638609
335,175,315,5.7775,-1.55357333536434
335,175,315,5.785,-2.50960103981394
335,175,315,5.7925,2.70792701338396
335,175,315,5.8,1.86975322165892
335,175,315,5.8075,0.763271972826882
335,175,315,5.815,-0.120413019691412
335,175,315,5.8225,-1.15435160143137
335,175,315,5.83,-1.96078521819325
335,175,315,5.8375,-2.90077723623548
335,175,315,5.845,2.11257601627168
335,175,315,5.8525,1.09694089863932
335,175,315,5.86,0.392385133971896
335,175,315,5.8675,-1.07463891003786
335,175,315,5.875,-1.71787661265712
335,175,315,5.8825,-2.68992663117796
335,175,315,5.89,2.15815441157456
335,175,315,5.8975,0.898224041608889
335,175,315,5.905,-0.467693394996507
335,175,315,5.9125,-1.65675047350623
335,175,315,5.92,-3.09892564014903
335,175,315,5.9275,2.66153331688926
335,175,315,5.935,0.524736392128209
335,175,315,5.9425,-0.758217318668667
335,175,315,5.95,-1.48434340415777
335,175,315,5.9575,3.12108540620696
335,175,315,5.965,2.06033799262216
335,175,315,5.9725,0.694655715435602
335,175,315,5.98,-0.307295458673011
335,175,315,5.9875,-1.24633883278582
335,175,315,5.995,-1.91452463961692
335,175,315,6.0025,-2.94379213149709
335,175,315,6.01,2.48087988310153
335,175,315,6.0175,1.21703318588519
335,175,315,6.025,0.192592923468212
335,175,315,6.0325,-0.853872386791155
335,175,315,6.04,-1.87095226882615
335,175,315,6.0475,-2.57350615278384
335,175,315,6.055,2.53249110837422
335,175,315,6.0625,1.48030690264818
335,175,315,6.07,0.745893912508307
335,175,315,6.0775,-0.381252959865792
335,175,315,6.085,-1.13095370825232
335,175,315,6.0925,-2.22317722462395
335,175,315,6.1,3.08939265746851
335,175,315,6.1075,1.93991099977436
335,175,315,6.115,1.08924006098202
335,175,315,6.1225,-0.0767599901312655
335,175,315,6.13,-0.976602856667719
335,175,315,6.1375,-2.20119269455971
335,175,315,6.145,-3.11816404972793
335,175,315,6.1525,1.99423458663785
335,175,315,6.16,0.505113509430164
335,175,315,6.1675,-1.59613372093509
335,175,315,6.175,2.43763996284757
335,175,315,6.1825,0.444084108576269
335,175,315,6.19,-0.91282531058321
335,175,315,6.1975,-1.39125089341997
335,175,315,6.205,-2.94341327720777
335,175,315,6.2125,2.53133119337839
335,175,315,6.22,1.74142332978403
335,175,315,6.2275,0.355045291968264
335,175,315,6.235,-0.41461933203403
335,175,315,6.2425,-1.46807393454355
335,175,315,6.25,-2.69100941187259
335,175,315,6.2575,-2.96367752086001
335,175,315,6.265,2.76633641327667
335,175,315,6.2725,2.35387776911877
335,175,315,6.28,1.78215824941961
335,175,315,6.2875,0.0332552734281192
335,175,315,6.295,-0.465124945775227
335,175,315,6.3025,-1.36794755440345
335,175,315,6.31,-2.48015317617805
335,175,315,6.3175,-3.10584088208141
335,175,315,6.325,1.84102951990993
335,175,315,6.3325,1.03879456841598
335,175,315,6.34,0.0249141753461385
335,175,315,6.3475,-1.20490661058767
335,175,315,6.355,-2.18343431124666
335,175,315,6.3625,-3.07202699917565
335,175,315,6.37,1.65400885993183
335,175,315,6.3775,0.918720453234098
335,175,315,6.385,0.0474366695078182
335,175,315,6.3925,-0.822007865823382
335,175,315,6.4,-1.93786881356453
335,175,315,6.4075,-3.05099671660424
335,175,315,6.415,1.97798547010836
335,175,315,6.4225,1.42655890645546
335,175,315,6.43,1.32985663205747
335,175,315,6.4375,0.397954104242168
335,175,315,6.445,-0.906723303740588
335,175,315,6.4525,-1.5456906485989
335,175,315,6.46,3.06430023540495
335,175,315,6.4675,1.86289840240565
335,175,315,6.475,1.74400056088183
335,175,315,6.4825,0.437855973632529
335,175,315,6.49,-0.338129505386731
335,175,315,6.4975,0.244443668668087
335,175,315,6.505,-0.234999229495929
335,175,315,6.5125,-1.26981514783748
335,175,315,6.52,-2.59714810561062
335,175,315,6.5275,-3.11158238600101
335,175,315,6.535,1.86972505452494
335,175,315,6.5425,0.915322075084778
335,175,315,6.55,0.00697520216449286
335,175,315,6.5575,-1.00925753055786
335,175,315,6.565,-1.84518142999591
335,175,315,6.5725,-2.87629395109494
335,175,315,6.58,2.23279879339793
335,175,315,6.5875,1.3059725077811
335,175,315,6.595,0.347305291483717
335,175,315,6.6025,-0.750500521052095
335,175,315,6.61,-1.79624047764106
335,175,315,6.6175,-2.76669742627129
335,175,315,6.625,2.43291222805389
335,175,315,6.6325,1.40650287044335
335,175,315,6.64,0.272093368158618
335,175,315,6.6475,-0.581848179033694
335,175,315,6.655,-1.19964875679445
335,175,315,6.6625,-2.12439975614511
335,175,315,6.67,3.13404522144367
335,175,315,6.6775,2.64611653615671
335,175,315,6.685,2.48047424768029
335,175,315,6.6925,1.39879589089602
335,175,315,6.7,0.279391876837635
335,175,315,6.7075,-0.405515905833056
335,175,315,6.715,-1.51794686155064
335,175,315,6.7225,-2.4259562024914
335,175,315,6.73,-3.05228896902374
335,175,315,6.7375,2.28431371363651
335,175,315,6.745,1.54118385601255
335,175,315,6.7525,0.426539458987739
335,175,315,6.76,-0.792542298545577
335,175,315,6.7675,-1.22971196053385
335,175,315,6.775,-2.1948525677689
335,175,315,6.7825,-3.13723358475473
335,175,315,6.79,2.16898531768885
335,175,315,6.7975,1.09152715234445
335,175,315,6.805,0.268421906024738
335,175,315,6.8125,-0.860966473878751
335,175,315,6.82,-1.71360464749737
335,175,315,6.8275,-2.36487683853942
