Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
385,175,315,4,-1.64715081395965
385,175,315,4.0075,-2.66398016242937
385,175,315,4.015,2.67974574568008
385,175,315,4.0225,1.76324957854685
385,175,315,4.03,0.786095043806143
385,175,315,4.0375,-0.0488205103724982
385,175,315,4.045,-0.999655016160205
385,175,315,4.0525,-2.01846210041919
385,175,315,4.06,-2.73133153218761
385,175,315,4.0675,2.66909788821697
385,175,315,4.075,1.69739856629479
385,175,315,4.0825,0.76435244469797
385,175,315,4.09,-0.257675026043635
385,175,315,4.0975,-1.00366057260057
385,175,315,4.105,-2.1131041219851
385,175,315,4.1125,-3.04157455779755
385,175,315,4.12,2.32144023949842
385,175,315,4.1275,1.3565364796726
385,175,315,4.135,0.413945417710264
385,175,315,4.1425,-0.390439288607165
385,175,315,4.15,-1.3600519734754
385,175,315,4.1575,-2.09897455991103
385,175,315,4.165,-3.09838841805839
385,175,315,4.1725,2.30091864684856
385,175,315,4.18,1.54611877667139
385,175,315,4.1875,0.524767643013653
385,175,315,4.195,-0.352077822869071
385,175,315,4.2025,-1.26979427283315
385,175,315,4.21,-2.47052496588233
385,175,315,4.2175,-3.04631953863482
385,175,315,4.225,2.16734220623527
385,175,315,4.2325,1.40740692588555
385,175,315,4.24,0.801864704378428
385,175,315,4.2475,-0.482095739932235
385,175,315,4.255,-0.965803778679017
385,175,315,4.2625,-1.80016901729136
385,175,315,4.27,-2.64862141782951
385,175,315,4.2775,2.65947853937467
385,175,315,4.285,1.43952465511094
385,175,315,4.2925,0.88660016706228
385,175,315,4.3,0.172108270478447
385,175,315,4.3075,-0.883891256093957
385,175,315,4.315,-1.90273087596757
385,175,315,4.3225,-2.77193644957606
385,175,315,4.33,2.48050354413461
385,175,315,4.3375,1.54010386739098
385,175,315,4.345,0.45670641808782
385,175,315,4.3525,-0.605284522640415
385,175,315,4.36,-1.65764681798177
385,175,315,4.3675,-2.69286988910034
385,175,315,4.375,2.76778383321242
385,175,315,4.3825,1.66982944587195
385,175,315,4.39,0.844373752959229
385,175,315,4.3975,-0.0450131932329224
385,175,315,4.405,-0.933173042747313
385,175,315,4.4125,-1.8562074117808
385,175,315,4.42,-2.87397669371975
385,175,315,4.4275,2.47032467183635
385,175,315,4.435,2.25757021816233
385,175,315,4.4425,1.44952881327963
385,175,315,4.45,0.566166418705691
385,175,315,4.4575,-0.410113601595859
385,175,315,4.465,-1.19237663932828
385,175,315,4.4725,-2.40641038563469
385,175,315,4.48,-3.05296836215982
385,175,315,4.4875,2.45998631541229
385,175,315,4.495,1.47758816216287
385,175,315,4.5025,0.641634961115064
385,175,315,4.51,-0.328652932851142
385,175,315,4.5175,-1.40518857711127
385,175,315,4.525,-2.41090386697571
385,175,315,4.5325,2.9201570635903
385,175,315,4.54,2.04978752684257
385,175,315,4.5475,1.08859691127845
385,175,315,4.555,0.234051196433944
385,175,315,4.5625,-0.814373033255886
385,175,315,4.57,-1.80755706337292
385,175,315,4.5775,-2.71059353602943
385,175,315,4.585,2.4151628798145
385,175,315,4.5925,1.3767233804555
385,175,315,4.6,0.389548705473491
385,175,315,4.6075,-0.498385301173863
385,175,315,4.615,-1.42398645113878
385,175,315,4.6225,-2.27918713992227
385,175,315,4.63,3.09069223524375
385,175,315,4.6375,2.48102951895642
385,175,315,4.645,2.69230713347798
385,175,315,4.6525,1.62203869919654
385,175,315,4.66,0.95216612925737
385,175,315,4.6675,-0.0512223922231462
385,175,315,4.675,-0.993967848946555
385,175,315,4.6825,-1.93854980717024
385,175,315,4.69,3.10150689734816
385,175,315,4.6975,2.41147662271888
385,175,315,4.705,1.66265003783866
385,175,315,4.7125,0.733200607278641
385,175,315,4.72,-0.182282293999527
385,175,315,4.7275,-1.48410925820658
385,175,315,4.735,-2.05600538076993
385,175,315,4.7425,-3.12415879875796
385,175,315,4.75,2.18864318664755
385,175,315,4.7575,1.36934001533714
385,175,315,4.765,0.452691930790602
385,175,315,4.7725,-0.480487380117991
385,175,315,4.78,-1.35270505316544
385,175,315,4.7875,-2.31353210602381
385,175,315,4.795,2.88903000877544
385,175,315,4.8025,1.93917203892806
385,175,315,4.81,0.968151620052801
385,175,315,4.8175,0.0219296102383499
385,175,315,4.825,-0.917960614871836
385,175,315,4.8325,-2.07047569612642
385,175,315,4.84,-2.90970967815037
385,175,315,4.8475,2.208182277375
385,175,315,4.855,1.4441831202555
385,175,315,4.8625,0.137860181984538
385,175,315,4.87,-0.660690849156512
385,175,315,4.8775,-1.59338822576141
385,175,315,4.885,-2.7372385628785
385,175,315,4.8925,2.674098693195
385,175,315,4.9,1.5880040087839
385,175,315,4.9075,0.732096739229218
385,175,315,4.915,-0.199345907574622
385,175,315,4.9225,-1.17299011522771
385,175,315,4.93,-2.15879482388868
385,175,315,4.9375,2.43302574617774
385,175,315,4.945,0.921512264042171
385,175,315,4.9525,-0.522666721225641
385,175,315,4.96,-2.25448877893506
385,175,315,4.9675,2.28519277760207
385,175,315,4.975,1.70840055737053
385,175,315,4.9825,0.696630727655268
385,175,315,4.99,-0.464272879418588
385,175,315,4.9975,-1.67808154499893
385,175,315,5.005,-2.59901405456649
385,175,315,5.0125,2.91163944907246
385,175,315,5.02,1.79331913536471
385,175,315,5.0275,0.899057497266889
385,175,315,5.035,-0.291999765801622
385,175,315,5.0425,-1.47496293373059
385,175,315,5.05,-2.25991052279831
385,175,315,5.0575,-3.09121888391555
385,175,315,5.065,2.18235246469506
385,175,315,5.0725,1.06931561750818
385,175,315,5.08,-0.0359255624263764
385,175,315,5.0875,-1.00603675966495
385,175,315,5.095,-1.88770968581847
385,175,315,5.1025,-2.87125795100093
385,175,315,5.11,2.31412932800158
385,175,315,5.1175,1.34930905135
385,175,315,5.125,0.284249798831783
385,175,315,5.1325,-0.649814899662319
385,175,315,5.14,-1.73529534859103
385,175,315,5.1475,-2.48652768678493
385,175,315,5.155,3.07059657131143
385,175,315,5.1625,1.71454184820161
385,175,315,5.17,0.546183488879735
385,175,315,5.1775,-0.674860921016383
385,175,315,5.185,-1.70007245049565
385,175,315,5.1925,-2.74247406941608
385,175,315,5.2,2.28037465694901
385,175,315,5.2075,0.854602864609712
385,175,315,5.215,-0.976990669684859
385,175,315,5.2225,-2.14496651970828
385,175,315,5.23,2.53595199465412
385,175,315,5.2375,1.93595145094678
385,175,315,5.245,0.923208187871791
385,175,315,5.2525,-0.500120471962771
385,175,315,5.26,-1.47299155016687
385,175,315,5.2675,-2.46212023064248
385,175,315,5.275,2.6385214616675
385,175,315,5.2825,1.5796811041621
385,175,315,5.29,0.596822094760319
385,175,315,5.2975,-0.489340807032701
385,175,315,5.305,-1.75238510533424
385,175,315,5.3125,-2.35217989055463
385,175,315,5.32,2.75501457405412
385,175,315,5.3275,1.91849050707144
385,175,315,5.335,1.37757893537368
385,175,315,5.3425,0.60289990889041
385,175,315,5.35,-0.478607534939751
385,175,315,5.3575,-1.5641827313331
385,175,315,5.365,-2.51581485355006
385,175,315,5.3725,2.80045138608412
385,175,315,5.38,1.85674479545731
385,175,315,5.3875,0.486220523783292
385,175,315,5.395,-0.191787286504614
385,175,315,5.4025,-1.26665318192964
385,175,315,5.41,-2.02751031644561
385,175,315,5.4175,-2.98089134513313
385,175,315,5.425,2.13499468295423
385,175,315,5.4325,1.08325396699392
385,175,315,5.44,0.0218091886768977
385,175,315,5.4475,-0.726772922321201
385,175,315,5.455,-1.41248844005893
385,175,315,5.4625,-1.20556976034718
385,175,315,5.47,-2.62388491587598
385,175,315,5.4775,2.9969242034311
385,175,315,5.485,1.49793487583847
385,175,315,5.4925,1.19216480613117
385,175,315,5.5,0.0295939906640916
385,175,315,5.5075,-1.62735423361839
385,175,315,5.515,-1.94678139246908
385,175,315,5.5225,-2.6339353122453
385,175,315,5.53,2.78426487944007
385,175,315,5.5375,2.11587202763484
385,175,315,5.545,1.33669943112037
385,175,315,5.5525,0.678785920003463
385,175,315,5.56,0.284018456955592
385,175,315,5.5675,-1.21900978070363
385,175,315,5.575,-2.23491510730856
385,175,315,5.5825,-3.08091024349317
385,175,315,5.59,2.42400749743656
385,175,315,5.5975,1.23429461118405
385,175,315,5.605,0.108611690533493
385,175,315,5.6125,-0.922488021480462
385,175,315,5.62,-1.89642726236829
385,175,315,5.6275,-3.07953551885044
385,175,315,5.635,2.09804017371173
385,175,315,5.6425,0.975508478159941
385,175,315,5.65,-0.220880100059765
385,175,315,5.6575,-1.54623263198529
385,175,315,5.665,-1.75615515852968
385,175,315,5.6725,-1.63354163252147
385,175,315,5.68,0.0105255486310171
385,175,315,5.6875,2.98830447937511
385,175,315,5.695,2.26670255560336
385,175,315,5.7025,1.88349799621265
385,175,315,5.71,0.38784871670799
385,175,315,5.7175,-0.352326982186603
385,175,315,5.725,-1.26714943927006
385,175,315,5.7325,-2.32741990325798
385,175,315,5.74,2.81571492675638
385,175,315,5.7475,1.99676111252876
385,175,315,5.755,0.880169580719398
385,175,315,5.7625,-0.187077079770278
385,175,315,5.77,-1.16214712050242
385,175,315,5.7775,-2.00380572478603
385,175,315,5.785,3.04463463595545
385,175,315,5.7925,2.06885986195636
385,175,315,5.8,1.50606175543656
385,175,315,5.8075,0.536183988921042
385,175,315,5.815,-0.400256512521504
385,175,315,5.8225,-1.68520422965069
385,175,315,5.83,-2.32109708730878
385,175,315,5.8375,2.99936555577083
385,175,315,5.845,2.14995115584799
385,175,315,5.8525,1.30894916337049
385,175,315,5.86,0.274036955686447
385,175,315,5.8675,-1.14103173310142
385,175,315,5.875,-1.98363709343663
385,175,315,5.8825,-3.14045538211791
385,175,315,5.89,1.96935315712914
385,175,315,5.8975,0.769926468152545
