Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"mag(S(RX_ant1_1,TX_antenna)) []"
335,275,315,4,0.00701460393937506
335,275,315,4.0075,0.00734728027291685
335,275,315,4.015,0.00690858819860702
335,275,315,4.0225,0.00678604090596122
335,275,315,4.03,0.00672948050939108
335,275,315,4.0375,0.00623710744125403
335,275,315,4.045,0.00546914902806388
335,275,315,4.0525,0.00555647943690457
335,275,315,4.06,0.00490884854844008
335,275,315,4.0675,0.00496577281107924
335,275,315,4.075,0.00499922640925661
335,275,315,4.0825,0.0056496561486404
335,275,315,4.09,0.00547684465095921
335,275,315,4.0975,0.00556080361182807
335,275,315,4.105,0.00511067324589909
335,275,315,4.1125,0.00445063307076666
335,275,315,4.12,0.00435920208865067
335,275,315,4.1275,0.00385727011319801
335,275,315,4.135,0.00326419954443882
335,275,315,4.1425,0.00370119088200537
335,275,315,4.15,0.00334708541246423
335,275,315,4.1575,0.00309776913745048
335,275,315,4.165,0.00294892293947398
335,275,315,4.1725,0.0028359588654539
335,275,315,4.18,0.00270802487008667
335,275,315,4.1875,0.00288700089732306
335,275,315,4.195,0.00294085249742635
335,275,315,4.2025,0.00319566927957138
335,275,315,4.21,0.00253930679201393
335,275,315,4.2175,0.00229227942764837
335,275,315,4.225,0.00254512319712328
335,275,315,4.2325,0.00217871995683641
335,275,315,4.24,0.00241854984098411
335,275,315,4.2475,0.00268390734235099
335,275,315,4.255,0.00271857833117049
335,275,315,4.2625,0.00294494929187361
335,275,315,4.27,0.00321814792512138
335,275,315,4.2775,0.00321195771289446
335,275,315,4.285,0.00317220041345729
335,275,315,4.2925,0.00339285759471041
335,275,315,4.3,0.00345393550566654
335,275,315,4.3075,0.00376857789329708
335,275,315,4.315,0.00405631239042913
335,275,315,4.3225,0.00447409318835263
335,275,315,4.33,0.00481518806627853
335,275,315,4.3375,0.00438778782133214
335,275,315,4.345,0.00455887537714926
335,275,315,4.3525,0.00459312045773686
335,275,315,4.36,0.00500931696928622
335,275,315,4.3675,0.0045542410555946
335,275,315,4.375,0.00426914936523301
335,275,315,4.3825,0.00375242782506095
335,275,315,4.39,0.00311136228288271
335,275,315,4.3975,0.00353094576860317
335,275,315,4.405,0.00306162637258963
335,275,315,4.4125,0.00215238740464511
335,275,315,4.42,0.00219553612651352
335,275,315,4.4275,0.00163602008874629
335,275,315,4.435,0.00176517351136321
335,275,315,4.4425,0.00162509572605302
335,275,315,4.45,0.00106058977974473
335,275,315,4.4575,0.0014925516881215
335,275,315,4.465,0.00124512435562227
335,275,315,4.4725,0.00175780326384923
335,275,315,4.48,0.00178856815765877
335,275,315,4.4875,0.00161032384646925
335,275,315,4.495,0.00191366076377689
335,275,315,4.5025,0.00235913585095057
335,275,315,4.51,0.00221090085168911
335,275,315,4.5175,0.00252806239191689
335,275,315,4.525,0.00265726174576446
335,275,315,4.5325,0.00309307214951026
335,275,315,4.54,0.00304036147059823
335,275,315,4.5475,0.00310646747501774
335,275,315,4.555,0.00248220846820728
335,275,315,4.5625,0.00269816214698219
335,275,315,4.57,0.00305146610097309
335,275,315,4.5775,0.00305729215127655
335,275,315,4.585,0.0029115126704782
335,275,315,4.5925,0.00293458241161387
335,275,315,4.6,0.00268429259738947
335,275,315,4.6075,0.00232663930471308
335,275,315,4.615,0.0017560519526548
335,275,315,4.6225,0.00144040114900467
335,275,315,4.63,0.00115291892720885
335,275,315,4.6375,0.000790037432166361
335,275,315,4.645,0.00052778979334435
335,275,315,4.6525,0.000712266339733286
335,275,315,4.66,0.00148102218572877
335,275,315,4.6675,0.00112179754387239
335,275,315,4.675,0.00151060168992297
335,275,315,4.6825,0.00189533374441576
335,275,315,4.69,0.00185378041325844
335,275,315,4.6975,0.00170622291095398
335,275,315,4.705,0.00165738647730201
335,275,315,4.7125,0.00136682504013427
335,275,315,4.72,0.00191374048476267
335,275,315,4.7275,0.00222442745246779
335,275,315,4.735,0.00169137664137954
335,275,315,4.7425,0.00161866009980273
335,275,315,4.75,0.00201292599241777
335,275,315,4.7575,0.0021405229261195
335,275,315,4.765,0.00209564434782069
335,275,315,4.7725,0.00154103610946946
335,275,315,4.78,0.00182797583324129
335,275,315,4.7875,0.00228253171772505
335,275,315,4.795,0.0023027400673951
335,275,315,4.8025,0.00226578743229508
335,275,315,4.81,0.00244864244473743
335,275,315,4.8175,0.00231349121833489
335,275,315,4.825,0.00265536877647484
335,275,315,4.8325,0.00248495598524374
335,275,315,4.84,0.00246766863566238
335,275,315,4.8475,0.00262506611428913
335,275,315,4.855,0.00248312838663581
335,275,315,4.8625,0.0021870308454371
335,275,315,4.87,0.00222196033749072
335,275,315,4.8775,0.00199550366749144
335,275,315,4.885,0.00170002959290395
335,275,315,4.8925,0.00155016931476582
335,275,315,4.9,0.00122036243307053
335,275,315,4.9075,0.000809779216040157
335,275,315,4.915,0.00087284344398649
335,275,315,4.9225,0.000709765128327341
335,275,315,4.93,0.000892525281617572
335,275,315,4.9375,0.000590482740943583
335,275,315,4.945,0.000570631498765473
335,275,315,4.9525,0.000445392241379054
335,275,315,4.96,0.000672972822958244
335,275,315,4.9675,0.000803562007557285
335,275,315,4.975,0.000650515214242672
335,275,315,4.9825,0.00101162569277909
335,275,315,4.99,0.0012130747647504
335,275,315,4.9975,0.00111287439979236
335,275,315,5.005,0.00171362557115666
335,275,315,5.0125,0.00210461439584678
335,275,315,5.02,0.00197853953798005
335,275,315,5.0275,0.00208193543090988
335,275,315,5.035,0.00267635402756158
335,275,315,5.0425,0.00239539855393809
335,275,315,5.05,0.00203017597887058
335,275,315,5.0575,0.00198732220151141
335,275,315,5.065,0.00223362120232554
335,275,315,5.0725,0.00243953143369606
335,275,315,5.08,0.00264241239948742
335,275,315,5.0875,0.00252689498283265
335,275,315,5.095,0.00238670760080137
335,275,315,5.1025,0.00215955048314054
335,275,315,5.11,0.00213094692937808
335,275,315,5.1175,0.00260186772916761
335,275,315,5.125,0.00204150286011091
335,275,315,5.1325,0.00187216251101021
335,275,315,5.14,0.00162687640012752
335,275,315,5.1475,0.00180907441435495
335,275,315,5.155,0.00138399490285765
335,275,315,5.1625,0.00146977303237003
335,275,315,5.17,0.00161364277727222
335,275,315,5.1775,0.00097335232608782
335,275,315,5.185,0.00101064981720597
335,275,315,5.1925,0.00125176828605386
335,275,315,5.2,0.000912005322496052
335,275,315,5.2075,0.0013265593436333
335,275,315,5.215,0.000733324820565836
335,275,315,5.2225,0.00119908735418981
335,275,315,5.23,0.000995467979386853
335,275,315,5.2375,0.00125888009001883
335,275,315,5.245,0.00112876720454731
335,275,315,5.2525,0.0015379692197322
335,275,315,5.26,0.00153808846211232
335,275,315,5.2675,0.00201600867450813
335,275,315,5.275,0.00213072893135426
335,275,315,5.2825,0.00151919924663793
335,275,315,5.29,0.00211837825796071
335,275,315,5.2975,0.00173465542034337
335,275,315,5.305,0.00172556828510946
335,275,315,5.3125,0.00143506412416801
335,275,315,5.32,0.00138169566715883
335,275,315,5.3275,0.00152391968807695
335,275,315,5.335,0.00135101541205439
335,275,315,5.3425,0.00166498107688644
335,275,315,5.35,0.00167242648304319
335,275,315,5.3575,0.00159971252669479
335,275,315,5.365,0.00152185375902302
335,275,315,5.3725,0.00209848385364759
335,275,315,5.38,0.00160991940648418
335,275,315,5.3875,0.00138444844384828
335,275,315,5.395,0.00131415344296102
335,275,315,5.4025,0.00137909455528933
335,275,315,5.41,0.00154145666195243
335,275,315,5.4175,0.00121583923539419
335,275,315,5.425,0.00102219105185486
335,275,315,5.4325,0.000477016168531195
335,275,315,5.44,0.00106083965635176
335,275,315,5.4475,0.000880954807401933
335,275,315,5.455,0.000822360705116282
