Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"mag(S(RX_ant1_1,TX_antenna)) []"
335,275,315,4,0.00709683266045966
335,275,315,4.0075,0.0062619288739
335,275,315,4.015,0.00702733395228782
335,275,315,4.0225,0.00692003521984521
335,275,315,4.03,0.00646302197073601
335,275,315,4.0375,0.00606995589141651
335,275,315,4.045,0.00558617887851114
335,275,315,4.0525,0.004819199832792
335,275,315,4.06,0.00511904943926061
335,275,315,4.0675,0.00520814142862089
335,275,315,4.075,0.00496771394608222
335,275,315,4.0825,0.00556944674855981
335,275,315,4.09,0.00526888766473519
335,275,315,4.0975,0.00518715131317274
335,275,315,4.105,0.00545417339294924
335,275,315,4.1125,0.00440244362280644
335,275,315,4.12,0.00430557116940203
335,275,315,4.1275,0.00415355473638711
335,275,315,4.135,0.00373956235353641
335,275,315,4.1425,0.00363636686505118
335,275,315,4.15,0.00355458630175513
335,275,315,4.1575,0.00276479248993454
335,275,315,4.165,0.00257528695778391
335,275,315,4.1725,0.00232837260644588
335,275,315,4.18,0.00275557165868103
335,275,315,4.1875,0.00292616904588842
335,275,315,4.195,0.00305601699481276
335,275,315,4.2025,0.00298998533084122
335,275,315,4.21,0.00283476298155255
335,275,315,4.2175,0.00248376586259793
335,275,315,4.225,0.00239924608029225
335,275,315,4.2325,0.00235195773129096
335,275,315,4.24,0.00241015603505623
335,275,315,4.2475,0.00287211876276807
335,275,315,4.255,0.00234938201506063
335,275,315,4.2625,0.00289746072316045
335,275,315,4.27,0.00304070879652067
335,275,315,4.2775,0.00324735495525048
335,275,315,4.285,0.0027722812275808
335,275,315,4.2925,0.00360663219812024
335,275,315,4.3,0.0031505304101414
335,275,315,4.3075,0.00368591307197316
335,275,315,4.315,0.00399748955094703
335,275,315,4.3225,0.00402731181501532
335,275,315,4.33,0.00446741104704025
335,275,315,4.3375,0.00470232400335468
335,275,315,4.345,0.00512742653069499
335,275,315,4.3525,0.0049481066065267
335,275,315,4.36,0.00442102712393033
335,275,315,4.3675,0.00416005444017645
335,275,315,4.375,0.00381211880482813
335,275,315,4.3825,0.00354407815600899
335,275,315,4.39,0.00362434438003371
335,275,315,4.3975,0.0029482156417589
335,275,315,4.405,0.00306401129342126
335,275,315,4.4125,0.00230965090058157
335,275,315,4.42,0.00180920753446132
335,275,315,4.4275,0.00146621547983319
335,275,315,4.435,0.00180882539768853
335,275,315,4.4425,0.00161156614216072
335,275,315,4.45,0.00150546804645401
335,275,315,4.4575,0.00124951209217689
335,275,315,4.465,0.00173045690773786
335,275,315,4.4725,0.00127705591064633
335,275,315,4.48,0.00144384653825244
335,275,315,4.4875,0.00165940732017586
335,275,315,4.495,0.00188652547075191
335,275,315,4.5025,0.00209606580309461
335,275,315,4.51,0.00206671700968379
335,275,315,4.5175,0.00273045024702545
335,275,315,4.525,0.00257210268675871
335,275,315,4.5325,0.00244870990471485
335,275,315,4.54,0.00268208011332201
335,275,315,4.5475,0.00294182395525414
335,275,315,4.555,0.00266131376078516
335,275,315,4.5625,0.00285978449083475
335,275,315,4.57,0.00312291220337373
335,275,315,4.5775,0.00276263956891035
335,275,315,4.585,0.00235363177811918
335,275,315,4.5925,0.00279629133013972
335,275,315,4.6,0.0025018534769258
335,275,315,4.6075,0.00242311448091567
335,275,315,4.615,0.00166836407480413
335,275,315,4.6225,0.00167416568210836
335,275,315,4.63,0.00120519407332635
335,275,315,4.6375,0.000757365831971249
335,275,315,4.645,0.000596513622395558
335,275,315,4.6525,0.00106470051583055
335,275,315,4.66,0.000996981654241232
335,275,315,4.6675,0.00131575514731073
335,275,315,4.675,0.00163409845141895
335,275,315,4.6825,0.00157668491252862
335,275,315,4.69,0.00196594851866459
335,275,315,4.6975,0.00153452644161311
335,275,315,4.705,0.00232575915851524
335,275,315,4.7125,0.001737826927732
335,275,315,4.72,0.00157331637645599
335,275,315,4.7275,0.00189740880104815
335,275,315,4.735,0.00152448465259362
335,275,315,4.7425,0.00171268846830135
335,275,315,4.75,0.00193312486165321
335,275,315,4.7575,0.00203748961544518
335,275,315,4.765,0.0019835886100204
335,275,315,4.7725,0.00188765640785878
335,275,315,4.78,0.00197065600797229
335,275,315,4.7875,0.00222573712989656
335,275,315,4.795,0.00216540531116852
335,275,315,4.8025,0.00222589397789386
335,275,315,4.81,0.00253874642828123
335,275,315,4.8175,0.00283471861076183
335,275,315,4.825,0.00263083241427434
335,275,315,4.8325,0.00279282311939722
335,275,315,4.84,0.00248971450670443
335,275,315,4.8475,0.00233863373098276
335,275,315,4.855,0.00264583574874797
335,275,315,4.8625,0.00181287720080974
335,275,315,4.87,0.00186867374863473
335,275,315,4.8775,0.00206652382947238
335,275,315,4.885,0.00146141105381757
335,275,315,4.8925,0.00125862623382874
335,275,315,4.9,0.00166031536389789
335,275,315,4.9075,0.00104522466252688
335,275,315,4.915,0.000569992856421696
335,275,315,4.9225,0.000833570597871999
335,275,315,4.93,0.00101177940804507
335,275,315,4.9375,0.000518353375885873
335,275,315,4.945,0.000413680084157109
335,275,315,4.9525,0.000378266609981357
335,275,315,4.96,0.000123420574253955
335,275,315,4.9675,0.000854042363195733
335,275,315,4.975,0.000951418956066705
335,275,315,4.9825,0.0012509206166269
335,275,315,4.99,0.0011648758373034
335,275,315,4.9975,0.00141951368486416
335,275,315,5.005,0.0017758049186321
335,275,315,5.0125,0.00163928439878813
335,275,315,5.02,0.00219394090496706
335,275,315,5.0275,0.0022206162877418
335,275,315,5.035,0.00266606108350852
335,275,315,5.0425,0.00247972423912937
335,275,315,5.05,0.00208367254806952
335,275,315,5.0575,0.00187139832705168
335,275,315,5.065,0.00223854368297881
335,275,315,5.0725,0.00240741455523917
335,275,315,5.08,0.00269181752736226
335,275,315,5.0875,0.00265015591284832
335,275,315,5.095,0.00233431716375501
335,275,315,5.1025,0.00244333809041987
335,275,315,5.11,0.0020387504980198
335,275,315,5.1175,0.00226072969790374
335,275,315,5.125,0.00251824338830296
335,275,315,5.1325,0.0018876441803388
335,275,315,5.14,0.00156086071339407
335,275,315,5.1475,0.00131871618073991
335,275,315,5.155,0.00204589601455503
335,275,315,5.1625,0.00147271536289063
335,275,315,5.17,0.00122875762995076
335,275,315,5.1775,0.000754365764152574
335,275,315,5.185,0.00104902180878401
335,275,315,5.1925,0.00113012655113754
335,275,315,5.2,0.00129677764423553
335,275,315,5.2075,0.00112810421491332
335,275,315,5.215,0.000825378471589308
335,275,315,5.2225,0.000754622492561036
335,275,315,5.23,0.000836588788171995
335,275,315,5.2375,0.00163488571625992
335,275,315,5.245,0.00139078370503118
335,275,315,5.2525,0.00128441035915434
335,275,315,5.26,0.0013825662916467
335,275,315,5.2675,0.0016964976036051
335,275,315,5.275,0.00216169899570936
335,275,315,5.2825,0.00174217876018864
335,275,315,5.29,0.0020442950281642
335,275,315,5.2975,0.0020051821051806
335,275,315,5.305,0.00123307144983733
335,275,315,5.3125,0.00148472595264291
335,275,315,5.32,0.00122179236959756
335,275,315,5.3275,0.00125792186267197
335,275,315,5.335,0.00128077669196585
335,275,315,5.3425,0.00107912827526449
335,275,315,5.35,0.00142254080149244
335,275,315,5.3575,0.00154979244394148
335,275,315,5.365,0.00198885843907972
335,275,315,5.3725,0.00134718739386808
335,275,315,5.38,0.0015329119658301
335,275,315,5.3875,0.00133168112890851
335,275,315,5.395,0.00152344497215935
335,275,315,5.4025,0.00151356188510084
335,275,315,5.41,0.0010574439825983
335,275,315,5.4175,0.00167942356886732
335,275,315,5.425,0.00152535722932928
335,275,315,5.4325,0.00104793064412096
335,275,315,5.44,0.000709602579344044
335,275,315,5.4475,0.000622170167606564
335,275,315,5.455,0.000389904845099246
335,275,315,5.4625,0.000330932783748229
335,275,315,5.47,0.000769001684946417
335,275,315,5.4775,0.00118964909312776
335,275,315,5.485,0.0011489030396303
335,275,315,5.4925,0.000901763698996208
335,275,315,5.5,0.00102846630852244
335,275,315,5.5075,0.000533574399054865
335,275,315,5.515,0.000482113473685015
335,275,315,5.5225,0.000493618191359745
335,275,315,5.53,0.000754836893767113
335,275,315,5.5375,0.000883737891455391
335,275,315,5.545,0.000854948093433295
335,275,315,5.5525,0.00114440174135983
335,275,315,5.56,0.00153404537272438
335,275,315,5.5675,0.00172844947100528
335,275,315,5.575,0.00190141225706112
335,275,315,5.5825,0.00142714822313862
335,275,315,5.59,0.00177866434620142
335,275,315,5.5975,0.00253571185681521
335,275,315,5.605,0.00260155618218641
335,275,315,5.6125,0.00208892421932191
335,275,315,5.62,0.00257828942502939
335,275,315,5.6275,0.00232460099898827
335,275,315,5.635,0.00224861104598508
335,275,315,5.6425,0.00185940071371578
335,275,315,5.65,0.00177652914637893
335,275,315,5.6575,0.00131698648173082
335,275,315,5.665,0.000953921336602219
335,275,315,5.6725,0.000244580115835827
335,275,315,5.68,0.00045797698909007
335,275,315,5.6875,7.71739376815803e-05
335,275,315,5.695,0.000542155695933804
335,275,315,5.7025,0.00116746667532993
335,275,315,5.71,0.00108388464184382
335,275,315,5.7175,0.00105519328702246
335,275,315,5.725,0.00156423542596373
335,275,315,5.7325,0.00107972365863852
335,275,315,5.74,0.00133509555130525
335,275,315,5.7475,0.00170261967533988
335,275,315,5.755,0.00184763875633396
335,275,315,5.7625,0.0022315649221735
335,275,315,5.77,0.00179330082898825
335,275,315,5.7775,0.00173442334758268
335,275,315,5.785,0.00165288222086116
335,275,315,5.7925,0.00165314137068703
335,275,315,5.8,0.00144042995541092
335,275,315,5.8075,0.00187865399637385
335,275,315,5.815,0.00130418646498133
335,275,315,5.8225,0.00142568606112409
335,275,315,5.83,0.00154812597333776
335,275,315,5.8375,0.00170902526816756
335,275,315,5.845,0.00134601524566309
335,275,315,5.8525,0.00145126226700273
335,275,315,5.86,0.00169805584032363
