Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
335,275,315,4,-1.35989079507395
335,275,315,4.0075,-2.33096418860599
335,275,315,4.015,3.01034460152409
335,275,315,4.0225,1.94347089656741
335,275,315,4.03,0.953404671587972
335,275,315,4.0375,0.0514441890797936
335,275,315,4.045,-0.896197512424139
335,275,315,4.0525,-1.83371179017864
335,275,315,4.06,-2.66463164129355
335,275,315,4.0675,2.69985273306883
335,275,315,4.075,1.81820035733982
335,275,315,4.0825,0.770846486017858
335,275,315,4.09,-0.24617415118296
335,275,315,4.0975,-1.07345384917481
335,275,315,4.105,-2.08438246343294
335,275,315,4.1125,-3.09066111820001
335,275,315,4.12,2.25346929507759
335,275,315,4.1275,1.25030469498351
335,275,315,4.135,0.238780979033916
335,275,315,4.1425,-0.693505766651406
335,275,315,4.15,-1.53716054243266
335,275,315,4.1575,-2.35103978364217
335,275,315,4.165,2.89048989905528
335,275,315,4.1725,1.96241730384804
335,275,315,4.18,1.47999518512543
335,275,315,4.1875,0.770013847822275
335,275,315,4.195,-0.354894684677991
335,275,315,4.2025,-1.28208982726836
335,275,315,4.21,-2.31524232952229
335,275,315,4.2175,-2.97261670870386
335,275,315,4.225,-3.07322355448386
335,275,315,4.2325,2.33348858528671
335,275,315,4.24,1.46854226527773
335,275,315,4.2475,0.335686704792554
335,275,315,4.255,-0.339815518168674
335,275,315,4.2625,-1.21377970229809
335,275,315,4.27,-2.27375268232576
335,275,315,4.2775,2.91784306459498
335,275,315,4.285,1.92045113548027
335,275,315,4.2925,0.948401900297338
335,275,315,4.3,0.197224394351899
335,275,315,4.3075,-0.674426149662816
335,275,315,4.315,-1.65436080561741
335,275,315,4.3225,-2.65586448854957
335,275,315,4.33,2.71403743091692
335,275,315,4.3375,1.56169650601316
335,275,315,4.345,0.595599456343112
335,275,315,4.3525,-0.449771369241864
335,275,315,4.36,-1.48830719589991
335,275,315,4.3675,-2.59235122134878
335,275,315,4.375,2.67236701604591
335,275,315,4.3825,1.5665524295712
335,275,315,4.39,0.67769200863894
335,275,315,4.3975,-0.249336458302638
335,275,315,4.405,-1.33550739710443
