Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
335,275,315,4,-1.52692080895932
335,275,315,4.0075,-2.5271434261779
335,275,315,4.015,2.79554116854111
335,275,315,4.0225,1.86329019222133
335,275,315,4.03,0.907116933590417
335,275,315,4.0375,-0.0125756281987922
335,275,315,4.045,-1.00382547313552
335,275,315,4.0525,-1.86400734239378
335,275,315,4.06,-2.79508349032312
335,275,315,4.0675,2.57935936354856
335,275,315,4.075,1.71301933378376
335,275,315,4.0825,0.82630197224228
335,275,315,4.09,-0.215503107405993
335,275,315,4.0975,-1.07635187988109
335,275,315,4.105,-2.1453585339538
335,275,315,4.1125,-3.12707965094783
335,275,315,4.12,2.30279896071623
335,275,315,4.1275,1.334907221088
335,275,315,4.135,0.448982436158421
335,275,315,4.1425,-0.331367271009653
335,275,315,4.15,-1.42941032039715
335,275,315,4.1575,-2.19395426853298
335,275,315,4.165,-3.11059459039337
335,275,315,4.1725,2.3382708460393
335,275,315,4.18,1.61945522096028
335,275,315,4.1875,0.596799233954015
335,275,315,4.195,-0.349684051454686
335,275,315,4.2025,-1.2428847850787
335,275,315,4.21,-2.16972763651077
335,275,315,4.2175,-3.01763621802385
335,275,315,4.225,2.4832524534901
335,275,315,4.2325,1.5935296961516
335,275,315,4.24,1.02488580224919
335,275,315,4.2475,0.0278408126347102
335,275,315,4.255,-0.689358131656609
335,275,315,4.2625,-1.66114568579368
335,275,315,4.27,-2.58253663416218
335,275,315,4.2775,2.7913218597051
335,275,315,4.285,1.86604302816753
335,275,315,4.2925,0.923138281680538
335,275,315,4.3,0.116399660446602
335,275,315,4.3075,-0.754998885722796
335,275,315,4.315,-1.77649605364725
335,275,315,4.3225,-2.72486473887285
335,275,315,4.33,2.56964805620875
335,275,315,4.3375,1.48976989782112
335,275,315,4.345,0.489130388801928
335,275,315,4.3525,-0.604962837817775
335,275,315,4.36,-1.55100774410739
335,275,315,4.3675,-2.57734745135065
335,275,315,4.375,2.8331600718592
335,275,315,4.3825,1.8301742750634
335,275,315,4.39,0.916032116699548
335,275,315,4.3975,-0.0404350647139673
335,275,315,4.405,-1.08878098359799
335,275,315,4.4125,-2.03540258847481
335,275,315,4.42,-2.89179559133092
335,275,315,4.4275,2.59001468182669
335,275,315,4.435,1.90363078188589
335,275,315,4.4425,0.805235567556568
335,275,315,4.45,0.112746585787144
335,275,315,4.4575,-0.41890590979422
335,275,315,4.465,-1.40320146400766
335,275,315,4.4725,-2.30843823891494
335,275,315,4.48,-2.96351365278832
335,275,315,4.4875,2.65528806785442
335,275,315,4.495,1.70794853905332
335,275,315,4.5025,0.83754488584316
335,275,315,4.51,-0.234029616027189
335,275,315,4.5175,-0.980230642461436
335,275,315,4.525,-2.04515945389224
335,275,315,4.5325,-3.10746508808701
335,275,315,4.54,2.41512474883997
335,275,315,4.5475,1.36520928383909
335,275,315,4.555,0.555902083577921
335,275,315,4.5625,-0.379407099296643
335,275,315,4.57,-1.4981977551997
335,275,315,4.5775,-2.40683681485414
335,275,315,4.585,2.89798211910268
335,275,315,4.5925,1.73748520113668
335,275,315,4.6,0.74844420835742
335,275,315,4.6075,-0.124977922945509
335,275,315,4.615,-1.14997293492006
335,275,315,4.6225,-2.07504238570688
335,275,315,4.63,-3.08049104713557
335,275,315,4.6375,2.66752825993712
335,275,315,4.645,2.27388783783257
335,275,315,4.6525,1.36353340081887
335,275,315,4.66,0.746016744934133
335,275,315,4.6675,-0.207645845169429
335,275,315,4.675,-0.99013331889279
335,275,315,4.6825,-2.2713413179331
335,275,315,4.69,-3.08393871617783
335,275,315,4.6975,2.41890944016023
335,275,315,4.705,1.54475457101643
335,275,315,4.7125,0.409700585238537
335,275,315,4.72,-0.228881356388261
335,275,315,4.7275,-1.40045405380045
335,275,315,4.735,-2.18269446307933
335,275,315,4.7425,2.94324153511143
335,275,315,4.75,2.15869491504666
335,275,315,4.7575,1.44543071629271
335,275,315,4.765,0.425007774440255
335,275,315,4.7725,-0.609671820797007
335,275,315,4.78,-1.45529479331462
335,275,315,4.7875,-2.01168114541036
335,275,315,4.795,3.13656529218942
335,275,315,4.8025,2.30125177425958
335,275,315,4.81,1.21509287458049
335,275,315,4.8175,0.230092834479574
335,275,315,4.825,-0.767092445359282
335,275,315,4.8325,-1.68692210238416
335,275,315,4.84,-2.76531312904624
335,275,315,4.8475,2.39865066550301
335,275,315,4.855,1.38504479903259
335,275,315,4.8625,0.270862206935632
335,275,315,4.87,-0.448265865213978
335,275,315,4.8775,-1.31299083712037
335,275,315,4.885,-2.31429603277476
335,275,315,4.8925,2.77939590109481
335,275,315,4.9,1.76501026052723
335,275,315,4.9075,0.943447595208875
335,275,315,4.915,-0.418840948514984
335,275,315,4.9225,-0.880493254895119
335,275,315,4.93,-1.21859113891879
335,275,315,4.9375,-2.881753838794
335,275,315,4.945,0.9101139472252
335,275,315,4.9525,-2.36595681685039
335,275,315,4.96,-2.25385629978585
335,275,315,4.9675,2.84009763912639
335,275,315,4.975,1.76117227431406
335,275,315,4.9825,-0.149446841346853
335,275,315,4.99,-0.633176242546536
335,275,315,4.9975,-1.53240964598306
335,275,315,5.005,-2.67953356127524
335,275,315,5.0125,2.62208527152789
335,275,315,5.02,1.75585442143634
335,275,315,5.0275,0.978570755971419
335,275,315,5.035,-0.192834869725333
335,275,315,5.0425,-1.42998181341177
335,275,315,5.05,-2.34369498729541
335,275,315,5.0575,-3.03342555657606
335,275,315,5.065,2.00938910385717
335,275,315,5.0725,1.10252546762263
335,275,315,5.08,0.138082511739166
335,275,315,5.0875,-0.995755126986903
335,275,315,5.095,-2.06720010572231
335,275,315,5.1025,-2.96655414271231
335,275,315,5.11,2.22445527749788
335,275,315,5.1175,1.35703482395177
335,275,315,5.125,0.291000949019514
335,275,315,5.1325,-0.611537194785498
335,275,315,5.14,-1.41449903875539
335,275,315,5.1475,-2.57221908095229
335,275,315,5.155,2.71900910831188
335,275,315,5.1625,2.16552691249755
335,275,315,5.17,1.01935274544238
335,275,315,5.1775,-0.343854142667904
335,275,315,5.185,-1.54799565988212
335,275,315,5.1925,-2.83422996761623
335,275,315,5.2,1.7005902673689
335,275,315,5.2075,0.59923678143514
335,275,315,5.215,-0.44295699964205
335,275,315,5.2225,-1.91091319611394
335,275,315,5.23,2.76496437489359
335,275,315,5.2375,1.48793272416958
335,275,315,5.245,0.487953922750485
335,275,315,5.2525,-0.31985994561434
335,275,315,5.26,-1.42795884725344
335,275,315,5.2675,-2.22974184366371
335,275,315,5.275,2.81541577207347
335,275,315,5.2825,1.57829879504626
335,275,315,5.29,0.644335690526788
335,275,315,5.2975,-0.369578597191998
335,275,315,5.305,-1.60104881868114
335,275,315,5.3125,-2.47207589798657
335,275,315,5.32,2.91786214465257
335,275,315,5.3275,2.23672146386539
335,275,315,5.335,1.26664621170305
335,275,315,5.3425,0.515026988496668
335,275,315,5.35,-0.0923800861402017
335,275,315,5.3575,-1.44470906290159
335,275,315,5.365,-2.41738891182715
335,275,315,5.3725,2.88152253129941
335,275,315,5.38,1.91427049949663
335,275,315,5.3875,0.886102282033297
335,275,315,5.395,-0.0798112191529893
335,275,315,5.4025,-0.951762805216782
335,275,315,5.41,-1.88067999776652
335,275,315,5.4175,-2.83999893904268
335,275,315,5.425,2.13766353181923
335,275,315,5.4325,1.2025413010483
335,275,315,5.44,0.900292792525321
335,275,315,5.4475,-0.331422468491112
335,275,315,5.455,-1.1435169014683
335,275,315,5.4625,-1.86112316007708
335,275,315,5.47,-1.8546768384608
335,275,315,5.4775,-2.68974367472901
335,275,315,5.485,2.70968592357169
335,275,315,5.4925,1.36571977561398
335,275,315,5.5,0.186629365943371
335,275,315,5.5075,-0.616505370056601
335,275,315,5.515,-0.870900415766179
335,275,315,5.5225,-2.09747009219737
335,275,315,5.53,-2.85396678946361
335,275,315,5.5375,2.09037795809275
335,275,315,5.545,2.10995759258069
335,275,315,5.5525,0.882810747625926
335,275,315,5.56,0.0229674983426318
335,275,315,5.5675,-1.09313382873907
335,275,315,5.575,-1.94709828074904
335,275,315,5.5825,-3.07323350261065
335,275,315,5.59,2.2933207455607
335,275,315,5.5975,1.61542114790376
335,275,315,5.605,0.0778033530819482
335,275,315,5.6125,-0.782731681576082
335,275,315,5.62,-1.86775358803924
335,275,315,5.6275,-3.10455735209519
335,275,315,5.635,2.40920865323076
335,275,315,5.6425,0.872818893453437
335,275,315,5.65,-0.0952562118667659
335,275,315,5.6575,-1.17560387712711
335,275,315,5.665,-1.8927491554741
335,275,315,5.6725,2.20273183409775
335,275,315,5.68,2.14192029045588
335,275,315,5.6875,-1.71184038763852
335,275,315,5.695,-3.03594700021353
335,275,315,5.7025,3.0727649287992
335,275,315,5.71,1.09883235794058
335,275,315,5.7175,0.0141830312540955
335,275,315,5.725,-1.05860733853491
335,275,315,5.7325,-1.93693301211674
335,275,315,5.74,-3.06349101732428
335,275,315,5.7475,2.19859793696115
335,275,315,5.755,1.19645532933132
335,275,315,5.7625,0.00344409996330335
335,275,315,5.77,-0.844888380353087
335,275,315,5.7775,-2.10602475949237
335,275,315,5.785,-2.94991213421516
335,275,315,5.7925,2.76460350509806
335,275,315,5.8,1.59399040214947
335,275,315,5.8075,0.639101649677905
335,275,315,5.815,-0.00311508347021967
335,275,315,5.8225,-1.29144926530044
335,275,315,5.83,-2.12811748464201
335,275,315,5.8375,-3.08089259448353
335,275,315,5.845,2.38193128998056
335,275,315,5.8525,1.56352522142745
335,275,315,5.86,0.467277918170087
335,275,315,5.8675,-0.427428833076192
335,275,315,5.875,-1.72023464678641
335,275,315,5.8825,-2.88317906527556
335,275,315,5.89,2.30381798527565
335,275,315,5.8975,0.773311373660107
335,275,315,5.905,0.0897601066947573
335,275,315,5.9125,-1.22044818850682
335,275,315,5.92,-2.6678602603702
335,275,315,5.9275,0.720809289136708
335,275,315,5.935,-0.068510971203183
335,275,315,5.9425,-1.58768357676908
335,275,315,5.95,-2.49313709994363
335,275,315,5.9575,-3.01777854109301
335,275,315,5.965,1.81574475805033
335,275,315,5.9725,0.552194056150873
335,275,315,5.98,0.0860050909362393
335,275,315,5.9875,-1.38351836863944
335,275,315,5.995,-2.281464836437
335,275,315,6.0025,-3.05456205826509
335,275,315,6.01,1.87445652612651
335,275,315,6.0175,1.1732598175373
335,275,315,6.025,0.313963204176773
335,275,315,6.0325,-0.809058212351815
335,275,315,6.04,-1.76454644592288
335,275,315,6.0475,-2.83111173205944
335,275,315,6.055,2.63554819417665
335,275,315,6.0625,1.79661333546043
335,275,315,6.07,0.907227154279425
335,275,315,6.0775,-0.132104120499788
335,275,315,6.085,-0.983063794434874
335,275,315,6.0925,-1.84926011037401
335,275,315,6.1,-3.12231318941357
335,275,315,6.1075,1.95624307262319
335,275,315,6.115,1.11401149169358
335,275,315,6.1225,0.180774964616452
335,275,315,6.13,-0.761870344357628
335,275,315,6.1375,-1.85008041964852
335,275,315,6.145,-3.05163135113009
335,275,315,6.1525,2.70166876242258
335,275,315,6.16,2.8773288469491
335,275,315,6.1675,-2.27307521208444
335,275,315,6.175,1.28877987208771
335,275,315,6.1825,0.470899904798699
335,275,315,6.19,-0.459981224105327
335,275,315,6.1975,-1.30443533484262
335,275,315,6.205,-2.63776323153292
335,275,315,6.2125,2.40806152858215
335,275,315,6.22,1.57625315510887
335,275,315,6.2275,0.838529488239733
335,275,315,6.235,-0.575516134651392
335,275,315,6.2425,-1.30289212499972
335,275,315,6.25,-1.97027025525443
335,275,315,6.2575,-2.28353775472558
335,275,315,6.265,2.97081000796643
335,275,315,6.2725,1.93440397087696
335,275,315,6.28,1.56783009591162
335,275,315,6.2875,-0.0212655044467334
335,275,315,6.295,-0.248873946519018
335,275,315,6.3025,-1.43509923339682
335,275,315,6.31,-2.06135648094944
335,275,315,6.3175,-2.8895612480944
335,275,315,6.325,1.95852146213199
335,275,315,6.3325,1.07662026252895
335,275,315,6.34,0.13428241490202
335,275,315,6.3475,-0.913872619513966
335,275,315,6.355,-2.13621878136282
