Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
335,275,315,4,-1.5036826515385
335,275,315,4.0075,-2.40523591326557
335,275,315,4.015,2.80472720435221
335,275,315,4.0225,1.87068373290227
335,275,315,4.03,0.745209737702631
335,275,315,4.0375,-0.0541096183692872
335,275,315,4.045,-1.1363070965164
335,275,315,4.0525,-2.01300984674672
335,275,315,4.06,-2.84699126611191
335,275,315,4.0675,2.46973161118918
335,275,315,4.075,1.62145939698397
335,275,315,4.0825,0.651828278457069
335,275,315,4.09,-0.3575089098155
335,275,315,4.0975,-1.24906073161317
335,275,315,4.105,-2.2465042554259
335,275,315,4.1125,2.96050619291172
335,275,315,4.12,2.06228947023327
335,275,315,4.1275,0.917358626171296
335,275,315,4.135,0.0671127252682683
335,275,315,4.1425,-0.878329496018013
335,275,315,4.15,-1.6733173835085
335,275,315,4.1575,-2.48158260683583
335,275,315,4.165,2.78018333264604
335,275,315,4.1725,1.92896981540871
335,275,315,4.18,1.44758761904948
335,275,315,4.1875,0.212154958296133
335,275,315,4.195,-0.581711993018018
335,275,315,4.2025,-1.36041265350252
335,275,315,4.21,-2.52635109144077
335,275,315,4.2175,-2.62096613825254
335,275,315,4.225,3.02784640850627
335,275,315,4.2325,2.40478109384038
335,275,315,4.24,1.29788009380621
335,275,315,4.2475,0.301051775979457
335,275,315,4.255,-0.428456079986091
335,275,315,4.2625,-1.49323288054497
335,275,315,4.27,-2.50689671227832
335,275,315,4.2775,2.80807154999982
335,275,315,4.285,1.77766550107387
335,275,315,4.2925,0.813584313288074
335,275,315,4.3,-0.118210505118063
335,275,315,4.3075,-0.815150417491833
335,275,315,4.315,-1.77950888146611
335,275,315,4.3225,-2.81707111450055
335,275,315,4.33,2.41960082443396
335,275,315,4.3375,1.40903839156917
335,275,315,4.345,0.454477428196794
335,275,315,4.3525,-0.659998170594286
335,275,315,4.36,-1.64132733920366
335,275,315,4.3675,-2.80034057610498
335,275,315,4.375,2.49638457522048
335,275,315,4.3825,1.45710011728301
335,275,315,4.39,0.483566797793423
335,275,315,4.3975,-0.46038652704038
335,275,315,4.405,-1.46311036663961
335,275,315,4.4125,-2.44164324192234
335,275,315,4.42,2.92554377601799
335,275,315,4.4275,2.11437944397017
335,275,315,4.435,1.13185643532196
335,275,315,4.4425,0.101589630858925
335,275,315,4.45,-0.939854701462788
335,275,315,4.4575,-2.19135078748543
335,275,315,4.465,-0.0591139707129782
335,275,315,4.4725,-2.26769662436955
335,275,315,4.48,-1.87549082844345
335,275,315,4.4875,3.10623016405054
335,275,315,4.495,2.41268540801734
335,275,315,4.5025,1.29851616311509
335,275,315,4.51,0.117816714213662
335,275,315,4.5175,-0.928782657091244
335,275,315,4.525,-1.92882074640574
335,275,315,4.5325,-2.88673278454988
335,275,315,4.54,2.37510600602548
335,275,315,4.5475,1.43657649152127
335,275,315,4.555,0.414336280370545
335,275,315,4.5625,-0.409367295215078
335,275,315,4.57,-1.32962565611457
335,275,315,4.5775,-2.44274044799805
335,275,315,4.585,2.8777746411983
335,275,315,4.5925,1.70439777032729
335,275,315,4.6,0.569772069173929
335,275,315,4.6075,-0.432052502147797
335,275,315,4.615,-1.4682359471044
335,275,315,4.6225,-2.64296963053437
335,275,315,4.63,2.83652620715954
335,275,315,4.6375,1.78414373724827
335,275,315,4.645,0.737135200626906
335,275,315,4.6525,-0.556047407040451
335,275,315,4.66,1.71531184308437
335,275,315,4.6675,-0.658388298843737
335,275,315,4.675,-1.23743735025855
335,275,315,4.6825,-2.39930379837521
335,275,315,4.69,2.54781160233578
335,275,315,4.6975,2.50365061971744
335,275,315,4.705,1.76325084971957
335,275,315,4.7125,0.152654394733157
335,275,315,4.72,0.134311532445899
335,275,315,4.7275,-0.95546998759131
335,275,315,4.735,-1.71006236268161
335,275,315,4.7425,-2.70576973285212
335,275,315,4.75,2.56420614981786
335,275,315,4.7575,1.70228120418952
335,275,315,4.765,0.510623158449999
335,275,315,4.7725,-0.0366646070388291
335,275,315,4.78,-1.33037142194082
335,275,315,4.7875,-2.29024628417387
335,275,315,4.795,-3.1156423259513
335,275,315,4.8025,2.25527176047334
335,275,315,4.81,1.204268901471
335,275,315,4.8175,0.322505629212264
335,275,315,4.825,-0.889817295523817
335,275,315,4.8325,-1.8427881844222
335,275,315,4.84,-2.82360378424108
335,275,315,4.8475,2.16871192888438
335,275,315,4.855,1.22812097399663
335,275,315,4.8625,0.0656775066205589
335,275,315,4.87,-0.879050898710025
335,275,315,4.8775,-1.84928284684345
335,275,315,4.885,-2.73253848542824
335,275,315,4.8925,2.31035924225132
335,275,315,4.9,1.47084825689183
335,275,315,4.9075,0.00320730831829548
335,275,315,4.915,-0.697303113375567
335,275,315,4.9225,-1.06658934886406
335,275,315,4.93,-2.41695958836945
335,275,315,4.9375,2.42371034036285
335,275,315,4.945,1.11406427434835
335,275,315,4.9525,-0.674709612394419
335,275,315,4.96,-2.20741126179285
335,275,315,4.9675,2.88563434305511
335,275,315,4.975,2.05538600116077
335,275,315,4.9825,1.12656509227069
335,275,315,4.99,-0.437471304632242
335,275,315,4.9975,-1.35007337321048
335,275,315,5.005,-2.33743605000696
335,275,315,5.0125,2.7156179828239
335,275,315,5.02,1.73966190183243
335,275,315,5.0275,0.56907030939542
335,275,315,5.035,-0.283792360780957
335,275,315,5.0425,-1.3176437450436
335,275,315,5.05,-2.5004018542673
335,275,315,5.0575,2.98156523984753
335,275,315,5.065,2.04796992887248
335,275,315,5.0725,1.08681581419634
335,275,315,5.08,-0.0119663719937732
335,275,315,5.0875,-1.0376938002097
335,275,315,5.095,-2.06877915126767
335,275,315,5.1025,3.05104124416755
335,275,315,5.11,2.13271341792165
335,275,315,5.1175,1.20963440168905
335,275,315,5.125,0.0783789267331241
335,275,315,5.1325,-0.857959472304666
335,275,315,5.14,-1.69363991769498
335,275,315,5.1475,-2.73964072220275
335,275,315,5.155,2.6359711020983
335,275,315,5.1625,1.44834454578486
335,275,315,5.17,0.124068709276639
335,275,315,5.1775,-0.704744900979727
335,275,315,5.185,-1.839244615365
335,275,315,5.1925,-2.91836884979693
335,275,315,5.2,1.87233550528937
335,275,315,5.2075,0.483601135545127
335,275,315,5.215,-0.643484082001954
335,275,315,5.2225,-1.9674744790109
335,275,315,5.23,3.09288019453579
335,275,315,5.2375,1.51844389063934
335,275,315,5.245,0.704699540822204
335,275,315,5.2525,-0.311492815222918
335,275,315,5.26,-1.18381048407687
335,275,315,5.2675,-2.45076713955863
335,275,315,5.275,2.69437602258203
335,275,315,5.2825,1.56802376126728
335,275,315,5.29,0.697397247279146
335,275,315,5.2975,-0.358319074888317
335,275,315,5.305,-1.60349161607303
335,275,315,5.3125,-2.33579580921726
335,275,315,5.32,2.96190439541272
335,275,315,5.3275,1.83999843210582
335,275,315,5.335,1.06350983886152
335,275,315,5.3425,-0.068215004479287
335,275,315,5.35,-0.9128770708275
335,275,315,5.3575,-1.65795214805946
335,275,315,5.365,-2.69132153263419
335,275,315,5.3725,2.67932739467189
335,275,315,5.38,1.62041147496879
335,275,315,5.3875,0.367252993012635
335,275,315,5.395,-0.298136339984071
335,275,315,5.4025,-1.66227527905852
335,275,315,5.41,-2.71867785094719
