Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
235,175,315,4,-1.38143934900084
235,175,315,4.0075,-2.31201084938553
235,175,315,4.015,3.03637889540066
235,175,315,4.0225,1.95964863055253
235,175,315,4.03,1.04616432380023
235,175,315,4.0375,0.0937163918345038
235,175,315,4.045,-0.980122475186741
235,175,315,4.0525,-1.9169943517637
235,175,315,4.06,-2.65593147899918
235,175,315,4.0675,2.62030856504118
235,175,315,4.075,1.8864980762408
235,175,315,4.0825,0.846661824748618
235,175,315,4.09,-0.169149728747958
235,175,315,4.0975,-1.06869794560116
235,175,315,4.105,-1.99222002180665
235,175,315,4.1125,-3.09072240623241
235,175,315,4.12,2.27004621836697
235,175,315,4.1275,1.26083756578937
235,175,315,4.135,0.161623437857627
235,175,315,4.1425,-0.487956004423466
235,175,315,4.15,-1.4313508114176
235,175,315,4.1575,-2.40986206578688
235,175,315,4.165,3.08920183941919
235,175,315,4.1725,2.30068889016416
235,175,315,4.18,1.89076881074523
235,175,315,4.1875,0.934536425643039
235,175,315,4.195,0.11142944869968
235,175,315,4.2025,-1.01178393474455
235,175,315,4.21,-2.21606923072989
235,175,315,4.2175,-2.25672403972036
235,175,315,4.225,3.03813349477341
235,175,315,4.2325,2.4205539609644
235,175,315,4.24,1.47749419676383
235,175,315,4.2475,0.497037644114962
235,175,315,4.255,-0.294929956631502
235,175,315,4.2625,-1.36537432533042
235,175,315,4.27,-2.10527061104748
235,175,315,4.2775,3.06335102503632
235,175,315,4.285,2.00100910132338
235,175,315,4.2925,1.25042720655158
235,175,315,4.3,0.329093347089586
235,175,315,4.3075,-0.660928220411955
235,175,315,4.315,-1.57650154641589
235,175,315,4.3225,-2.64392639092258
235,175,315,4.33,2.67109258594385
235,175,315,4.3375,1.73664514104371
235,175,315,4.345,0.581289372419901
235,175,315,4.3525,-0.515748614604081
235,175,315,4.36,-1.49607604921992
235,175,315,4.3675,-2.70983015487463
235,175,315,4.375,2.55377725773661
235,175,315,4.3825,1.62096593750923
235,175,315,4.39,0.606124442858839
235,175,315,4.3975,-0.188235108613618
235,175,315,4.405,-1.29552439429989
235,175,315,4.4125,-2.48669530271771
235,175,315,4.42,3.05171876269477
235,175,315,4.4275,2.1368356499412
235,175,315,4.435,1.2786641072519
235,175,315,4.4425,0.4968636273043
235,175,315,4.45,-0.562300858226059
235,175,315,4.4575,-0.302802654976417
235,175,315,4.465,-0.47474583954202
235,175,315,4.4725,-1.63830695657735
235,175,315,4.48,-1.7804612394603
235,175,315,4.4875,-3.07953460383497
235,175,315,4.495,2.35436889884542
235,175,315,4.5025,1.39820563059529
235,175,315,4.51,0.21333355217267
235,175,315,4.5175,-0.825601745105405
