Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"mag(S(RX_ant1_1,TX_antenna)) []"
235,175,315,4,0.00773837603034946
235,175,315,4.0075,0.00690044090754931
235,175,315,4.015,0.00687419214943971
235,175,315,4.0225,0.00639050577224575
235,175,315,4.03,0.00608295605387415
235,175,315,4.0375,0.00603119856828839
235,175,315,4.045,0.00552678133494374
235,175,315,4.0525,0.00564941825756049
235,175,315,4.06,0.00476598046057069
235,175,315,4.0675,0.00495718176187149
235,175,315,4.075,0.00496167935680925
235,175,315,4.0825,0.0055605448659374
235,175,315,4.09,0.00541772600633084
235,175,315,4.0975,0.00464503650342918
235,175,315,4.105,0.00533920659181349
235,175,315,4.1125,0.00415478453449226
235,175,315,4.12,0.00415499263975887
235,175,315,4.1275,0.00421027986790186
235,175,315,4.135,0.00310771602365625
235,175,315,4.1425,0.00381460791022499
235,175,315,4.15,0.00311169732977628
235,175,315,4.1575,0.00313870932784114
235,175,315,4.165,0.00255583506786876
235,175,315,4.1725,0.00240895329361787
235,175,315,4.18,0.00244601308664217
235,175,315,4.1875,0.00310344661404094
235,175,315,4.195,0.00358146622239718
235,175,315,4.2025,0.00270655239994427
235,175,315,4.21,0.00228365580382377
235,175,315,4.2175,0.00226395783172257
235,175,315,4.225,0.00298071320963937
235,175,315,4.2325,0.00254413290373772
235,175,315,4.24,0.00261393213082469
235,175,315,4.2475,0.00299256344898411
235,175,315,4.255,0.00252928091902823
235,175,315,4.2625,0.00280964298398374
235,175,315,4.27,0.00365024298261183
235,175,315,4.2775,0.00391973549732304
235,175,315,4.285,0.00353017461914009
235,175,315,4.2925,0.00329998922780541
235,175,315,4.3,0.00317439851869253
235,175,315,4.3075,0.00389873832822234
235,175,315,4.315,0.00422693991410182
235,175,315,4.3225,0.0045105148290598
235,175,315,4.33,0.00486727702130319
235,175,315,4.3375,0.00567626966537157
235,175,315,4.345,0.00522063402276034
235,175,315,4.3525,0.00506132227188599
235,175,315,4.36,0.00503694414815797
235,175,315,4.3675,0.0046534645944251
235,175,315,4.375,0.00409630978790544
235,175,315,4.3825,0.00352949627628784
235,175,315,4.39,0.00370226702950285
235,175,315,4.3975,0.00295380063013416
235,175,315,4.405,0.00302665021374486
235,175,315,4.4125,0.00241384746026403
235,175,315,4.42,0.00239090164208238
235,175,315,4.4275,0.00166737027265139
235,175,315,4.435,0.00205231596819538
235,175,315,4.4425,0.00122521547863565
235,175,315,4.45,0.00150264089369954
235,175,315,4.4575,0.0013742726917869
235,175,315,4.465,0.00186684521661276
235,175,315,4.4725,0.00175872212874327
235,175,315,4.48,0.00170913615361754
235,175,315,4.4875,0.00200376873807986
235,175,315,4.495,0.00191130713139455
235,175,315,4.5025,0.00208501762691254
235,175,315,4.51,0.00287937534313822
235,175,315,4.5175,0.00246008724574088
235,175,315,4.525,0.00297378024023027
235,175,315,4.5325,0.00250448499028102
235,175,315,4.54,0.00237672469535922
235,175,315,4.5475,0.00334029495244783
235,175,315,4.555,0.00312722839746264
235,175,315,4.5625,0.00312261045405444
235,175,315,4.57,0.00305454169759485
235,175,315,4.5775,0.00351577725402668
235,175,315,4.585,0.00286693243404357
235,175,315,4.5925,0.00309920583510097
235,175,315,4.6,0.00274356424782191
235,175,315,4.6075,0.00230816695449897
235,175,315,4.615,0.00164547174741455
235,175,315,4.6225,0.00123675903415152
235,175,315,4.63,0.00153712460761627
235,175,315,4.6375,0.000862726688126463
235,175,315,4.645,0.000770294867450261
235,175,315,4.6525,0.000827613210284836
235,175,315,4.66,0.00112938794865464
235,175,315,4.6675,0.00189938056722777
235,175,315,4.675,0.00127362495771282
235,175,315,4.6825,0.00156096486661594
235,175,315,4.69,0.00185694741920343
235,175,315,4.6975,0.00163042403502719
235,175,315,4.705,0.00179307016098398
235,175,315,4.7125,0.00194538863852048
235,175,315,4.72,0.00157410312294894
235,175,315,4.7275,0.00204948326803802
235,175,315,4.735,0.00179086821712628
235,175,315,4.7425,0.00199162815973942
235,175,315,4.75,0.00225242908632669
235,175,315,4.7575,0.00187422871079448
235,175,315,4.765,0.00197432556848203
235,175,315,4.7725,0.00187424921981777
235,175,315,4.78,0.00227123584004769
235,175,315,4.7875,0.00272631675677805
235,175,315,4.795,0.00254588466933832
235,175,315,4.8025,0.00239471396793204
235,175,315,4.81,0.0032226443155361
235,175,315,4.8175,0.00213821540465003
235,175,315,4.825,0.00261720510523204
235,175,315,4.8325,0.00271877720539342
235,175,315,4.84,0.00232050860542708
235,175,315,4.8475,0.00276061261418571
235,175,315,4.855,0.00266478129446247
235,175,315,4.8625,0.00266727780796012
235,175,315,4.87,0.00225171063110697
235,175,315,4.8775,0.00212839498531555
235,175,315,4.885,0.00179187031568245
235,175,315,4.8925,0.00178166284778974
235,175,315,4.9,0.00104816182272408
235,175,315,4.9075,0.000722011886729255
235,175,315,4.915,0.00101191988090704
235,175,315,4.9225,0.00109810315038784
235,175,315,4.93,0.000897453722412569
235,175,315,4.9375,0.00114072933344575
235,175,315,4.945,0.000374360458393365
235,175,315,4.9525,0.00040028147118749
235,175,315,4.96,0.000561498543695241
235,175,315,4.9675,0.000925506578530144
235,175,315,4.975,0.00110814658556793
235,175,315,4.9825,0.00109415652641532
235,175,315,4.99,0.00151127832441428
235,175,315,4.9975,0.0013109673798445
235,175,315,5.005,0.00184001238722198
235,175,315,5.0125,0.00222147540188655
235,175,315,5.02,0.00171585693079394
235,175,315,5.0275,0.00191679671532712
235,175,315,5.035,0.00221028376914714
235,175,315,5.0425,0.00198037795600558
235,175,315,5.05,0.0029375298939798
235,175,315,5.0575,0.00223812977347004
235,175,315,5.065,0.00214651837202831
235,175,315,5.0725,0.00246250359250818
235,175,315,5.08,0.00281290534723879
235,175,315,5.0875,0.00258624550520664
235,175,315,5.095,0.00259543618576787
235,175,315,5.1025,0.0026682874692183
235,175,315,5.11,0.00229714078727975
235,175,315,5.1175,0.00227207523338819
235,175,315,5.125,0.00226379560161541
235,175,315,5.1325,0.0018875780045068
235,175,315,5.14,0.00177741675571524
235,175,315,5.1475,0.00188352443003143
235,175,315,5.155,0.00123383750064648
235,175,315,5.1625,0.00161601677487759
235,175,315,5.17,0.00144950343221907
235,175,315,5.1775,0.00157856469536679
235,175,315,5.185,0.0014238425603828
235,175,315,5.1925,0.000899781069289249
235,175,315,5.2,0.00109642056827778
235,175,315,5.2075,0.00106975694342544
235,175,315,5.215,0.00134646520082493
235,175,315,5.2225,0.000968889791350711
235,175,315,5.23,0.00109542264129823
235,175,315,5.2375,0.00135123884015049
235,175,315,5.245,0.00116838561116362
235,175,315,5.2525,0.0016856616367802
235,175,315,5.26,0.00151697237210828
235,175,315,5.2675,0.00229463815042751
235,175,315,5.275,0.00225238112965002
235,175,315,5.2825,0.00221723578362108
235,175,315,5.29,0.00211871337917211
235,175,315,5.2975,0.00207740282420131
235,175,315,5.305,0.0018470095094873
235,175,315,5.3125,0.00177289958549743
235,175,315,5.32,0.00161260779233656
235,175,315,5.3275,0.00162990130886241
235,175,315,5.335,0.000998970792598997
235,175,315,5.3425,0.00145660665543962
235,175,315,5.35,0.00119188636262507
235,175,315,5.3575,0.00203460457563599
235,175,315,5.365,0.00151027048055216
235,175,315,5.3725,0.00158632861741221
235,175,315,5.38,0.00175152145290161
235,175,315,5.3875,0.00110761837156849
235,175,315,5.395,0.00148579790047249
235,175,315,5.4025,0.00148818928403024
235,175,315,5.41,0.00155419567698638
235,175,315,5.4175,0.00123373204428358
235,175,315,5.425,0.00122687809978788
235,175,315,5.4325,0.000981501117357417
235,175,315,5.44,0.000637480373146844
235,175,315,5.4475,0.000578162878143457
235,175,315,5.455,0.000264541631871177
235,175,315,5.4625,0.000569886815509049
235,175,315,5.47,0.000511399451110118
235,175,315,5.4775,0.000668188804742087
235,175,315,5.485,0.00119410141893249
235,175,315,5.4925,0.00121914500803735
235,175,315,5.5,0.00101369707480781
235,175,315,5.5075,0.00071694347493956
235,175,315,5.515,0.000703266413249641
235,175,315,5.5225,0.000606567149273217
235,175,315,5.53,0.00078379078952913
235,175,315,5.5375,0.000984703260545549
235,175,315,5.545,0.000833390137624845
235,175,315,5.5525,0.00136289640432342
235,175,315,5.56,0.00131666139478431
235,175,315,5.5675,0.00114617672809721
235,175,315,5.575,0.00147852603309781
235,175,315,5.5825,0.00181226219949209
235,175,315,5.59,0.00218299192062126
235,175,315,5.5975,0.00213970410410904
235,175,315,5.605,0.00270300455434656
235,175,315,5.6125,0.00206366869705709
235,175,315,5.62,0.00239923077549127
235,175,315,5.6275,0.00229678809100364
235,175,315,5.635,0.00195683557296723
235,175,315,5.6425,0.00205274446762842
235,175,315,5.65,0.00206685040148579
235,175,315,5.6575,0.00141782143793786
235,175,315,5.665,0.000832134570204695
235,175,315,5.6725,0.000187239774805403
235,175,315,5.68,0.000342979989107405
235,175,315,5.6875,0.000485297944342637
235,175,315,5.695,0.000571105874706263
235,175,315,5.7025,0.000520943648542662
235,175,315,5.71,0.000853295818547074
235,175,315,5.7175,0.00184890861619748
235,175,315,5.725,0.00141759742271412
235,175,315,5.7325,0.00149271653245772
235,175,315,5.74,0.00209921376550882
235,175,315,5.7475,0.00167089438280752
235,175,315,5.755,0.00191851371756298
235,175,315,5.7625,0.00209006128912504
235,175,315,5.77,0.00198987979257652
235,175,315,5.7775,0.00160531846684563
235,175,315,5.785,0.00154236779616528
235,175,315,5.7925,0.00178357551671866
235,175,315,5.8,0.00198737240836937
235,175,315,5.8075,0.00159185064875043
235,175,315,5.815,0.00138359929899554
235,175,315,5.8225,0.00195199052647879
235,175,315,5.83,0.00131416956434416
235,175,315,5.8375,0.0019382172151274
235,175,315,5.845,0.0020728515017474
235,175,315,5.8525,0.00181422365837334
235,175,315,5.86,0.00165656613523173
235,175,315,5.8675,0.00200461052336233
235,175,315,5.875,0.00194340734591541
235,175,315,5.8825,0.00170888983774965
235,175,315,5.89,0.00140963125488821
235,175,315,5.8975,0.000994921328326612
235,175,315,5.905,0.000865702337859378
235,175,315,5.9125,0.000841583980980646
235,175,315,5.92,0.000243815420803051
235,175,315,5.9275,0.000299644433768075
235,175,315,5.935,0.000654464798093959
235,175,315,5.9425,0.00091596086928444
235,175,315,5.95,0.000509167166238241
235,175,315,5.9575,0.00120401391729426
235,175,315,5.965,0.00153525448757625
235,175,315,5.9725,0.000913257666451042
235,175,315,5.98,0.000680922571565242
235,175,315,5.9875,0.00191166060893919
235,175,315,5.995,0.00161762517300825
235,175,315,6.0025,0.00126444009600997
235,175,315,6.01,0.00135298256633539
235,175,315,6.0175,0.00168014403770993
235,175,315,6.025,0.0018927589531676
235,175,315,6.0325,0.00149971447764952
235,175,315,6.04,0.00184385926872796
235,175,315,6.0475,0.00204237660389911
235,175,315,6.055,0.00192764090076953
235,175,315,6.0625,0.00181612103036052
235,175,315,6.07,0.00176065451347202
235,175,315,6.0775,0.00175883762962645
235,175,315,6.085,0.00191034041057959
235,175,315,6.0925,0.00212495715137744
235,175,315,6.1,0.00180753102782946
235,175,315,6.1075,0.00195705985889235
235,175,315,6.115,0.00174686894822057
235,175,315,6.1225,0.00146156455285155
235,175,315,6.13,0.00122744508000235
235,175,315,6.1375,0.0017779385088119
235,175,315,6.145,0.000890909030778864
235,175,315,6.1525,0.000541253267353127
235,175,315,6.16,0.000481924952464382
235,175,315,6.1675,0.00059682688988427
235,175,315,6.175,0.000667714662605928
235,175,315,6.1825,0.000807001658861596
235,175,315,6.19,0.00081974221632242
235,175,315,6.1975,0.0010038367003031
235,175,315,6.205,0.0011205875940736
235,175,315,6.2125,0.00120828291350541
235,175,315,6.22,0.00153229569594223
235,175,315,6.2275,0.00140469208925142
235,175,315,6.235,0.000791812089446322
235,175,315,6.2425,0.000824338418337556
235,175,315,6.25,0.000805739638369319
235,175,315,6.2575,0.000544793701808974
235,175,315,6.265,0.000460525658193994
235,175,315,6.2725,0.000686462934954363
235,175,315,6.28,0.00062732556808345
235,175,315,6.2875,0.00113001304546953
235,175,315,6.295,0.000870253418922779
235,175,315,6.3025,0.00170918424235565
235,175,315,6.31,0.00119881977586375
235,175,315,6.3175,0.00186582023730615
235,175,315,6.325,0.00214264376351927
235,175,315,6.3325,0.00194139631630337
235,175,315,6.34,0.00233658213213345
235,175,315,6.3475,0.00299365535063998
235,175,315,6.355,0.00266079872844807
235,175,315,6.3625,0.00198599724617699
235,175,315,6.37,0.00262332443716123
235,175,315,6.3775,0.0020803216811879
235,175,315,6.385,0.00189097384949077
235,175,315,6.3925,0.00175450564080896
235,175,315,6.4,0.00127625201940541
235,175,315,6.4075,0.00149279299335395
235,175,315,6.415,0.00174844122892948
235,175,315,6.4225,0.00122119284804345
235,175,315,6.43,0.00153360833543806
235,175,315,6.4375,0.00150785195455881
235,175,315,6.445,0.00123953753165195
235,175,315,6.4525,0.00144519201979701
235,175,315,6.46,0.000974285087868727
235,175,315,6.4675,0.00129420358681936
235,175,315,6.475,0.00109080008093726
235,175,315,6.4825,0.000924411553770935
235,175,315,6.49,0.00104249326915841
235,175,315,6.4975,0.00161711416441369
235,175,315,6.505,0.00067044746724495
235,175,315,6.5125,0.000759295198141748
235,175,315,6.52,0.00108910688597027
235,175,315,6.5275,0.000719423496225888
235,175,315,6.535,0.00159361700142972
235,175,315,6.5425,0.00191995407106586
235,175,315,6.55,0.00189507460652833
235,175,315,6.5575,0.00177125176608123
235,175,315,6.565,0.00253995927490989
235,175,315,6.5725,0.00250405589531189
235,175,315,6.58,0.00272712825962864
235,175,315,6.5875,0.00279648325784893
235,175,315,6.595,0.0027289646933853
235,175,315,6.6025,0.00240854076060218
235,175,315,6.61,0.00290853144502123
235,175,315,6.6175,0.00258170885717206
235,175,315,6.625,0.00206214955629363
235,175,315,6.6325,0.00149676442699152
235,175,315,6.64,0.00185068104482479
