"RX_Ypos [cm]","Freq [GHz]","ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
315,4,-1.38768699452251
315,4.0075,-2.35681764492096
315,4.015,2.9461943658929
315,4.0225,1.93914113490308
315,4.03,0.96068392367666
315,4.0375,0.02349468851105
315,4.045,-0.992625152666715
315,4.0525,-1.9324611820894
315,4.06,-2.74638724129366
315,4.0675,2.62026532005719
315,4.075,1.74509621734474
315,4.0825,0.773667434902268
315,4.09,-0.293991158616008
315,4.0975,-1.17624579383796
315,4.105,-2.18858852543676
315,4.1125,3.06883939684628
315,4.12,2.16612992987725
315,4.1275,1.115772478793
315,4.135,0.181260480399872
315,4.1425,-0.603706303971185
315,4.15,-1.50479773958517
315,4.1575,-2.38681227728027
315,4.165,3.00976014339864
315,4.1725,2.21288766694502
315,4.18,1.60262960092863
315,4.1875,0.693192366479101
315,4.195,-0.228007537422816
315,4.2025,-1.20726497832501
315,4.21,-2.42913436916164
315,4.2175,-2.45461864040335
315,4.225,2.98015312972493
315,4.2325,2.32358704913034
315,4.24,1.47821523876219
315,4.2475,0.406563974860425
315,4.255,-0.340621584330137
315,4.2625,-1.33932028665084
315,4.27,-2.31831804662693
315,4.2775,2.96917176159869
315,4.285,1.95917923051515
315,4.2925,1.08649064389507
315,4.3,0.210662997112952
315,4.3075,-0.72768867516661
315,4.315,-1.72119935664431
315,4.3225,-2.69538728414873
315,4.33,2.57781670468754
315,4.3375,1.5624894482517
315,4.345,0.514445570643533
315,4.3525,-0.5642709129383
315,4.36,-1.60996820845569
315,4.3675,-2.69081085083314
315,4.375,2.55738861075804
315,4.3825,1.56128230985545
315,4.39,0.570016343535769
315,4.3975,-0.325047137984201
315,4.405,-1.36682834132505
315,4.4125,-2.41471799499967
315,4.42,2.94724270883368
315,4.4275,2.02886755506075
315,4.435,1.26417563108145
315,4.4425,0.411152833996224
315,4.45,-0.360305191401336
315,4.4575,-0.109135843075692
315,4.465,-0.424968734503286
315,4.4725,-1.35491130044613
315,4.48,-2.11505566180729
315,4.4875,-3.0909020284226
315,4.495,2.27880055293435
315,4.5025,1.24214361560617
315,4.51,0.159048097910556
315,4.5175,-0.822329787435929
315,4.525,-1.86921231562901
315,4.5325,-2.8493055533626
315,4.54,2.55406583205333
315,4.5475,1.55867385221791
315,4.555,0.623229061017085
315,4.5625,-0.281439879570174
315,4.57,-1.30948753215368
315,4.5775,-2.34879886962093
315,4.585,2.92592970801999
315,4.5925,1.86463368397097
315,4.6,0.787506365770513
315,4.6075,-0.245588853816683
315,4.615,-1.34095203800775
315,4.6225,-2.33539045419162
315,4.63,2.98114424209608
315,4.6375,1.88561407872718
315,4.645,0.93557789064987
315,4.6525,-0.117156010977957
315,4.66,0.294081911026237
315,4.6675,-0.489220447811631
315,4.675,-1.39941048558838
315,4.6825,-2.13826322215649
315,4.69,3.10860104326454
315,4.6975,2.60768968388038
315,4.705,1.92418166950893
315,4.7125,1.01211658479615
315,4.72,0.366188578976974
315,4.7275,-0.722494899205918
315,4.735,-1.68614098728019
315,4.7425,-2.49596021418156
315,4.75,2.72477054079666
315,4.7575,1.76812450483081
315,4.765,0.773542111847327
315,4.7725,-0.230777317251632
315,4.78,-1.11966960680934
315,4.7875,-2.05332091650528
315,4.795,-3.02030807765414
315,4.8025,2.25750797424587
315,4.81,1.26558243531171
315,4.8175,0.286641123005582
315,4.825,-0.694975148541728
315,4.8325,-1.72393914844529
315,4.84,-2.79170463451872
315,4.8475,2.42439248800653
315,4.855,1.31255606648686
315,4.8625,0.281522782267899
315,4.87,-0.678719296669242
315,4.8775,-1.73061090143556
315,4.885,-2.68796532036691
315,4.8925,2.52026230356162
315,4.9,1.39761525852111
315,4.9075,0.552839160981604
315,4.915,-0.240785712369747
315,4.9225,-0.998593148474482
315,4.93,-2.02764410541651
315,4.9375,2.82179214715402
315,4.945,1.23576774210601
315,4.9525,-0.395594496955463
315,4.96,-1.95986710978068
315,4.9675,2.98996852134605
315,4.975,1.86678670698501
315,4.9825,0.827980415288326
315,4.99,-0.203450268974637
315,4.9975,-1.30788394504173
315,5.005,-2.36863202889391
315,5.0125,2.9160579538279
315,5.02,1.88970346786353
315,5.0275,0.872063406588359
315,5.035,-0.179517755053045
315,5.0425,-1.20648894556785
315,5.05,-2.17800194461934
315,5.0575,3.11599439786661
315,5.065,2.12797954086166
315,5.0725,1.11937103523635
315,5.08,0.0721599999522367
315,5.0875,-1.0078980493422
315,5.095,-2.02865723737271
315,5.1025,-3.02617957585344
315,5.11,2.22679499354841
315,5.1175,1.24019750493335
315,5.125,0.186838379480715
315,5.1325,-0.850344531199131
315,5.14,-1.77014142613815
315,5.1475,-2.68659088995832
315,5.155,2.6320812350481
315,5.1625,1.56284656490689
315,5.17,0.476999901076826
315,5.1775,-0.704349498545054
315,5.185,-1.87177400778716
315,5.1925,-3.00227219528894
315,5.2,1.97486231377637
315,5.2075,0.64858659397351
315,5.215,-0.645513784542153
315,5.2225,-1.99517239597431
315,5.23,3.00489341975993
315,5.2375,1.90492062270744
315,5.245,0.871650255787815
315,5.2525,-0.183958719075635
315,5.26,-1.25271773602296
315,5.2675,-2.33891145095944
