Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
235,325,315,4,-1.39856837856891
235,325,315,4.0075,-2.33631577573802
235,325,315,4.015,2.96179375902588
235,325,315,4.0225,1.97338243027771
235,325,315,4.03,1.00675390699237
235,325,315,4.0375,0.102471816229199
235,325,315,4.045,-0.945653981213411
235,325,315,4.0525,-1.90615306764815
235,325,315,4.06,-2.68001790562127
235,325,315,4.0675,2.67064794583013
235,325,315,4.075,1.76003510239432
235,325,315,4.0825,0.75323948597838
235,325,315,4.09,-0.303720957717228
235,325,315,4.0975,-1.10389461710735
235,325,315,4.105,-2.14306337550264
235,325,315,4.1125,3.06779116948575
235,325,315,4.12,2.19903193871804
235,325,315,4.1275,1.10981895531571
235,325,315,4.135,0.306409013240282
235,325,315,4.1425,-0.57269951314912
235,325,315,4.15,-1.51508452111485
235,325,315,4.1575,-2.43891332535846
235,325,315,4.165,2.81411379446926
235,325,315,4.1725,2.39318401183151
235,325,315,4.18,1.58547169380557
235,325,315,4.1875,0.672487084859575
235,325,315,4.195,-0.238606577537446
235,325,315,4.2025,-1.40211114199101
235,325,315,4.21,-2.58557783492293
235,325,315,4.2175,-2.73412848444979
235,325,315,4.225,3.07957852337901
235,325,315,4.2325,2.64715547272166
235,325,315,4.24,1.51474938751312
235,325,315,4.2475,0.297142341853372
235,325,315,4.255,-0.380724693842466
235,325,315,4.2625,-1.23552010519206
235,325,315,4.27,-2.36878880618382
235,325,315,4.2775,3.05238041317113
235,325,315,4.285,1.99260197507506
235,325,315,4.2925,1.09070020127394
235,325,315,4.3,0.199037840616329
235,325,315,4.3075,-0.693337734917651
235,325,315,4.315,-1.71727555715947
235,325,315,4.3225,-2.7347803559092
235,325,315,4.33,2.62042165959669
235,325,315,4.3375,1.5921786639499
235,325,315,4.345,0.572301141590287
235,325,315,4.3525,-0.5984753992477
235,325,315,4.36,-1.63589014438079
235,325,315,4.3675,-2.72557825292189
235,325,315,4.375,2.54952859440752
235,325,315,4.3825,1.51254443526262
235,325,315,4.39,0.540469119699681
235,325,315,4.3975,-0.353922905198188
235,325,315,4.405,-1.49359544839638
235,325,315,4.4125,-2.53514796580947
235,325,315,4.42,2.79936076097273
235,325,315,4.4275,1.69832956656794
235,325,315,4.435,1.01282331907954
235,325,315,4.4425,0.342173348106567
