Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
285,275,315,4,-1.3758193592698
285,275,315,4.0075,-2.2496356545255
285,275,315,4.015,3.05156289716667
285,275,315,4.0225,1.96604339638453
285,275,315,4.03,1.0419250599345
285,275,315,4.0375,0.0982488185669024
285,275,315,4.045,-0.926574069263387
285,275,315,4.0525,-1.81088176126737
285,275,315,4.06,-2.71632375050699
285,275,315,4.0675,2.65522607426825
285,275,315,4.075,1.80016927711251
285,275,315,4.0825,0.854343958954547
285,275,315,4.09,-0.341244660961621
285,275,315,4.0975,-1.10366051289414
285,275,315,4.105,-2.13315187215365
285,275,315,4.1125,3.14062719244961
285,275,315,4.12,2.25015232093619
285,275,315,4.1275,1.09502616514831
285,275,315,4.135,0.241141234871788
285,275,315,4.1425,-0.653567719067378
285,275,315,4.15,-1.35645325349447
285,275,315,4.1575,-2.4258900193522
285,275,315,4.165,2.98484875980602
285,275,315,4.1725,2.53008316064364
285,275,315,4.18,1.64115137621145
285,275,315,4.1875,0.747720780465096
285,275,315,4.195,-0.0875381434402488
285,275,315,4.2025,-1.22272672147719
285,275,315,4.21,-2.48209264374823
285,275,315,4.2175,-2.76143259222269
285,275,315,4.225,3.0598750062389
285,275,315,4.2325,2.2356670478551
285,275,315,4.24,1.37022228566937
285,275,315,4.2475,0.330779667193091
285,275,315,4.255,-0.317567312198886
285,275,315,4.2625,-1.34334541412843
285,275,315,4.27,-2.30081734465146
285,275,315,4.2775,3.06372146852666
285,275,315,4.285,2.11482121092653
285,275,315,4.2925,1.02031671837827
285,275,315,4.3,0.209878109688144
285,275,315,4.3075,-0.621183775938447
285,275,315,4.315,-1.64706151987563
285,275,315,4.3225,-2.58915935233353
285,275,315,4.33,2.55150153410401
285,275,315,4.3375,1.62015987677408
285,275,315,4.345,0.64349085847497
285,275,315,4.3525,-0.490126292190486
285,275,315,4.36,-1.57703878018676
285,275,315,4.3675,-2.59890003115491
285,275,315,4.375,2.63631136278514
285,275,315,4.3825,1.62489345614053
285,275,315,4.39,0.634652851574531
285,275,315,4.3975,-0.202676817634326
285,275,315,4.405,-1.25038461096257
285,275,315,4.4125,-2.34743790593268
285,275,315,4.42,2.83912019741402
285,275,315,4.4275,1.85865441803264
285,275,315,4.435,1.27551685548638
285,275,315,4.4425,0.182144186161588
285,275,315,4.45,-0.844784264528718
285,275,315,4.4575,1.0389037995699
285,275,315,4.465,-0.716250518136736
285,275,315,4.4725,-1.51162186980099
285,275,315,4.48,-2.23391032522055
285,275,315,4.4875,2.96992418770253
285,275,315,4.495,2.42067639115078
285,275,315,4.5025,1.23485738702799
285,275,315,4.51,0.20457098689567
285,275,315,4.5175,-0.818486850764391
285,275,315,4.525,-1.78582966883581
285,275,315,4.5325,-2.73605912184848
285,275,315,4.54,2.67068736938059
285,275,315,4.5475,1.60201563676158
285,275,315,4.555,0.636224441551101
285,275,315,4.5625,-0.222966024999494
285,275,315,4.57,-1.22695801304757
285,275,315,4.5775,-2.35382110467298
285,275,315,4.585,2.99708244934539
285,275,315,4.5925,2.00995416977174
285,275,315,4.6,0.935037071099192
285,275,315,4.6075,-0.112047638918262
285,275,315,4.615,-1.32936891960973
285,275,315,4.6225,-2.22834525465892
285,275,315,4.63,3.08487015261785
285,275,315,4.6375,1.96857377174067
285,275,315,4.645,1.25490057235332
285,275,315,4.6525,-0.133383321476449
285,275,315,4.66,0.59053953020443
285,275,315,4.6675,-0.141253164830336
285,275,315,4.675,-1.72242857486079
285,275,315,4.6825,-2.42492942936776
285,275,315,4.69,-3.00513480471841
