Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"mag(S(RX_ant1_1,TX_antenna)) []"
385,225,315,4,0.00741243199116223
385,225,315,4.0075,0.00743025852170756
385,225,315,4.015,0.00747013418096419
385,225,315,4.0225,0.0069511789340319
385,225,315,4.03,0.00663311455417137
385,225,315,4.0375,0.00628191471120637
385,225,315,4.045,0.00594728497972444
385,225,315,4.0525,0.00524422828992099
385,225,315,4.06,0.00557292560000823
385,225,315,4.0675,0.00555938667105474
385,225,315,4.075,0.00538189849332291
385,225,315,4.0825,0.00583234438248203
385,225,315,4.09,0.00546365490994566
385,225,315,4.0975,0.00544803278142068
385,225,315,4.105,0.0049780429940381
385,225,315,4.1125,0.00430287084948318
385,225,315,4.12,0.00459589368136268
385,225,315,4.1275,0.00489585240529695
385,225,315,4.135,0.00377420350345299
385,225,315,4.1425,0.00364143855181973
385,225,315,4.15,0.00327575050923522
385,225,315,4.1575,0.00341213662903847
385,225,315,4.165,0.00297319984600865
385,225,315,4.1725,0.00305317920504757
385,225,315,4.18,0.00355775552898085
385,225,315,4.1875,0.00308443882955714
385,225,315,4.195,0.00310456751702822
385,225,315,4.2025,0.00354744377300183
385,225,315,4.21,0.00282712459247615
385,225,315,4.2175,0.00168247541153205
385,225,315,4.225,0.00234846572638736
385,225,315,4.2325,0.00207393764337862
385,225,315,4.24,0.00240748205057701
385,225,315,4.2475,0.0028641035374372
385,225,315,4.255,0.00278277113588598
385,225,315,4.2625,0.0026219461681778
385,225,315,4.27,0.00306224776563669
385,225,315,4.2775,0.00353264449222762
385,225,315,4.285,0.00349297152550619
385,225,315,4.2925,0.0031556027779932
385,225,315,4.3,0.00381645751620158
385,225,315,4.3075,0.00433617433599718
385,225,315,4.315,0.00440013118966353
385,225,315,4.3225,0.00490300769886109
385,225,315,4.33,0.00457306627893359
385,225,315,4.3375,0.00501559299859367
385,225,315,4.345,0.00560122353146423
385,225,315,4.3525,0.00500235663250558
385,225,315,4.36,0.00478772706825554
