Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"mag(S(RX_ant1_1,TX_antenna)) []"
335,225,315,4,0.00825853877003977
335,225,315,4.0075,0.00812264921950308
335,225,315,4.015,0.00790914326173785
335,225,315,4.0225,0.00803568980230549
335,225,315,4.03,0.00727340275359397
335,225,315,4.0375,0.00729296196730426
335,225,315,4.045,0.00711839624643262
335,225,315,4.0525,0.00615206461112913
335,225,315,4.06,0.00533386651870157
335,225,315,4.0675,0.00560022147936896
335,225,315,4.075,0.00534678476010328
335,225,315,4.0825,0.0064119822501117
335,225,315,4.09,0.00594777372325475
335,225,315,4.0975,0.00521064335594572
335,225,315,4.105,0.00570565341474924
335,225,315,4.1125,0.00513861303372209
335,225,315,4.12,0.00470563228654625
335,225,315,4.1275,0.00459721235202374
335,225,315,4.135,0.00331952342595002
335,225,315,4.1425,0.00319779847663939
335,225,315,4.15,0.00318008152396057
335,225,315,4.1575,0.0029793826296097
335,225,315,4.165,0.0025287462420915
335,225,315,4.1725,0.00169317903018399
335,225,315,4.18,0.00162739248939753
335,225,315,4.1875,0.00199168401534022
335,225,315,4.195,0.00171614818884109
335,225,315,4.2025,0.00222335029031946
335,225,315,4.21,0.00253307856429852
335,225,315,4.2175,0.00104653870833467
335,225,315,4.225,0.00146648627311189
335,225,315,4.2325,0.00199116570190653
335,225,315,4.24,0.00265927947709834
335,225,315,4.2475,0.00268575137947473
335,225,315,4.255,0.00310107866854864
335,225,315,4.2625,0.00379112648007088
335,225,315,4.27,0.00386167706274946
335,225,315,4.2775,0.00488958123381132
335,225,315,4.285,0.00442333631659744
335,225,315,4.2925,0.00382486084988109
335,225,315,4.3,0.00386039866354597
335,225,315,4.3075,0.00455413910554666
335,225,315,4.315,0.00519955937972784
335,225,315,4.3225,0.00612010513120072
335,225,315,4.33,0.00615887834270778
335,225,315,4.3375,0.00580057473523066
335,225,315,4.345,0.00644898930005714
335,225,315,4.3525,0.00649842666866338
335,225,315,4.36,0.00631207258390609
335,225,315,4.3675,0.00550188383026712
335,225,315,4.375,0.0054224413018954
335,225,315,4.3825,0.00472093269954987
335,225,315,4.39,0.00346241135523096
335,225,315,4.3975,0.00339982407995039
335,225,315,4.405,0.00293582218596641
335,225,315,4.4125,0.0021904526775905
335,225,315,4.42,0.00222697885089302
335,225,315,4.4275,0.00148580611326864
335,225,315,4.435,0.00109948101628807
335,225,315,4.4425,0.00123051589994184
335,225,315,4.45,0.000677655254527474
335,225,315,4.4575,0.000506144431854575
335,225,315,4.465,0.00128222678653333
335,225,315,4.4725,0.000898786929635216
335,225,315,4.48,0.00147279346821741
335,225,315,4.4875,0.0018394142106265
335,225,315,4.495,0.00274747748895114
335,225,315,4.5025,0.00282648341186609
335,225,315,4.51,0.00276168668418091
335,225,315,4.5175,0.00342468520673032
335,225,315,4.525,0.00353125944345361
335,225,315,4.5325,0.0030237631623818
335,225,315,4.54,0.00324343982708538
335,225,315,4.5475,0.00350299155236493
335,225,315,4.555,0.00360367065026402
335,225,315,4.5625,0.00339827188527343
335,225,315,4.57,0.0045532035051622
335,225,315,4.5775,0.00451487629236802
335,225,315,4.585,0.00451490620882823
335,225,315,4.5925,0.00440701697516564
335,225,315,4.6,0.00423990104415322
335,225,315,4.6075,0.00393037873381875
335,225,315,4.615,0.00324083636637889
335,225,315,4.6225,0.00242363699089117
335,225,315,4.63,0.00178073833112374
335,225,315,4.6375,0.00225519072790282
335,225,315,4.645,0.00168695773472469
335,225,315,4.6525,0.000896684097766573
335,225,315,4.66,0.000598417671934988
335,225,315,4.6675,0.00045058627797183
335,225,315,4.675,0.000754261784299634
335,225,315,4.6825,0.00138368502502922
335,225,315,4.69,0.00111971081205874
335,225,315,4.6975,0.000819675814875251
335,225,315,4.705,0.00100138768784335
335,225,315,4.7125,0.000900786713933821
335,225,315,4.72,0.00181500279872049
335,225,315,4.7275,0.00223475725723099
335,225,315,4.735,0.00150351487281879
335,225,315,4.7425,0.00223446617951256
335,225,315,4.75,0.00255327592308287
335,225,315,4.7575,0.00249397510315491
335,225,315,4.765,0.00252099596820149
335,225,315,4.7725,0.00308974954758316
335,225,315,4.78,0.00325530415553617
335,225,315,4.7875,0.00269169244399507
335,225,315,4.795,0.00322650434457151
335,225,315,4.8025,0.00335534616027603
335,225,315,4.81,0.00394140448266389
335,225,315,4.8175,0.00331129886269129
335,225,315,4.825,0.00397704645787327
335,225,315,4.8325,0.00347818755040356
335,225,315,4.84,0.00348368900910088
335,225,315,4.8475,0.00393879178386423
335,225,315,4.855,0.00394989210222543
335,225,315,4.8625,0.00280577292439715
335,225,315,4.87,0.0025225416525086
335,225,315,4.8775,0.00248007293611408
335,225,315,4.885,0.00251985839179107
335,225,315,4.8925,0.00203722926775361
335,225,315,4.9,0.00176425849016752
335,225,315,4.9075,0.00094187466566036
335,225,315,4.915,0.00109180515769635
335,225,315,4.9225,0.000611961829167317
335,225,315,4.93,0.00107640791079712
335,225,315,4.9375,0.0012061220648682
335,225,315,4.945,0.000640370223606522
335,225,315,4.9525,0.000897417124517757
335,225,315,4.96,0.000767292049233477
335,225,315,4.9675,0.000720182256495543
335,225,315,4.975,0.00104731103885585
335,225,315,4.9825,0.00123841286312775
335,225,315,4.99,0.00153639239784985
335,225,315,4.9975,0.00196677563765024
335,225,315,5.005,0.00257442902277179
335,225,315,5.0125,0.00244776122611982
335,225,315,5.02,0.00229780283342699
335,225,315,5.0275,0.00253997983843255
335,225,315,5.035,0.00260339965077353
335,225,315,5.0425,0.0031472031873003
335,225,315,5.05,0.00297496195180056
335,225,315,5.0575,0.00298420610335229
335,225,315,5.065,0.00299292712063844
335,225,315,5.0725,0.0031767125163958
335,225,315,5.08,0.003870214709068
335,225,315,5.0875,0.00376482542282873
335,225,315,5.095,0.00321476035993202
335,225,315,5.1025,0.00295188038456152
335,225,315,5.11,0.00319805450493537
335,225,315,5.1175,0.00305263183898997
335,225,315,5.125,0.00259013983888908
335,225,315,5.1325,0.00276654552358329
335,225,315,5.14,0.00243213862603758
335,225,315,5.1475,0.00217208648408064
335,225,315,5.155,0.00223173603570698
335,225,315,5.1625,0.00203840791838552
335,225,315,5.17,0.00144408383218337
335,225,315,5.1775,0.0019499316679698
335,225,315,5.185,0.00183931687717641
335,225,315,5.1925,0.00182405115944499
335,225,315,5.2,0.00194953657461145
335,225,315,5.2075,0.00168789313325579
335,225,315,5.215,0.00200450118017203
335,225,315,5.2225,0.00153768840976882
335,225,315,5.23,0.00126601742017877
335,225,315,5.2375,0.00210897461090152
335,225,315,5.245,0.0019901452859131
335,225,315,5.2525,0.00188245981738841
335,225,315,5.26,0.00235158717411049
335,225,315,5.2675,0.00179037848520265
335,225,315,5.275,0.00295950116676869
335,225,315,5.2825,0.00320084212876392
335,225,315,5.29,0.00238967649529582
335,225,315,5.2975,0.00314373587852752
