Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
335,225,315,4,-1.34220249376947
335,225,315,4.0075,-2.3892851161337
335,225,315,4.015,2.98482476043885
335,225,315,4.0225,1.94904562970875
335,225,315,4.03,0.982158861585675
335,225,315,4.0375,-0.0135657570578292
335,225,315,4.045,-0.987184718555781
335,225,315,4.0525,-1.943449372853
335,225,315,4.06,-2.79373916969665
335,225,315,4.0675,2.67722049735705
335,225,315,4.075,1.7972338654487
335,225,315,4.0825,0.821650334416861
335,225,315,4.09,-0.256139888564896
335,225,315,4.0975,-1.22347106075514
335,225,315,4.105,-2.19758009342764
335,225,315,4.1125,3.13384088800163
335,225,315,4.12,2.27092608021132
335,225,315,4.1275,1.26532118018871
335,225,315,4.135,0.290738055034787
335,225,315,4.1425,-0.824504534046867
335,225,315,4.15,-1.3861649916852
335,225,315,4.1575,-2.46583283087493
335,225,315,4.165,3.1073239620405
335,225,315,4.1725,2.11172515965357
335,225,315,4.18,1.61983593785876
335,225,315,4.1875,0.787691559331007
335,225,315,4.195,-0.106626578954975
335,225,315,4.2025,-1.08957290361763
335,225,315,4.21,-2.10814635214595
335,225,315,4.2175,-2.53168483012199
335,225,315,4.225,-2.90969163709287
335,225,315,4.2325,2.46353803905355
335,225,315,4.24,1.61494573243985
335,225,315,4.2475,0.452101863817082
335,225,315,4.255,-0.21581099534474
335,225,315,4.2625,-1.29802327550499
335,225,315,4.27,-2.1447482851151
335,225,315,4.2775,2.94827769918011
335,225,315,4.285,2.0441161833764
335,225,315,4.2925,1.0938166676549
335,225,315,4.3,0.328095270993559
335,225,315,4.3075,-0.709067635303106
335,225,315,4.315,-1.63853883743814
335,225,315,4.3225,-2.63736834607689
335,225,315,4.33,2.60276687879811
335,225,315,4.3375,1.63751629846176
335,225,315,4.345,0.537141561665396
335,225,315,4.3525,-0.510829200859505
335,225,315,4.36,-1.58047647514292
335,225,315,4.3675,-2.65084953628305
335,225,315,4.375,2.58022129979604
335,225,315,4.3825,1.61607244637202
335,225,315,4.39,0.554070533329179
335,225,315,4.3975,-0.238153438819143
335,225,315,4.405,-1.40118271036376
335,225,315,4.4125,-2.22970418931836
335,225,315,4.42,2.80644407878824
335,225,315,4.4275,1.99811901866879
335,225,315,4.435,0.874003046017309
335,225,315,4.4425,0.932510178672429
335,225,315,4.45,-0.644851736946214
335,225,315,4.4575,-0.77695652254968
335,225,315,4.465,-0.998433664085589
335,225,315,4.4725,-1.34142060016428
335,225,315,4.48,-1.91209180833737
335,225,315,4.4875,3.07492667455908
335,225,315,4.495,2.69026680294055
335,225,315,4.5025,1.24561972796625
335,225,315,4.51,0.231296934267248
335,225,315,4.5175,-0.715511032932877
335,225,315,4.525,-1.8478418937285
335,225,315,4.5325,-2.81626230430863
335,225,315,4.54,2.72286381729907
335,225,315,4.5475,1.70389114210276
335,225,315,4.555,0.671422437809704
335,225,315,4.5625,-0.138019513676553
335,225,315,4.57,-1.23485904398698
335,225,315,4.5775,-2.24197389436614
335,225,315,4.585,3.0579817652247
335,225,315,4.5925,1.88834850114363
335,225,315,4.6,0.798523351878121
335,225,315,4.6075,-0.256620258583351
335,225,315,4.615,-1.32393967443324
335,225,315,4.6225,-2.38076325684328
335,225,315,4.63,3.0359181833426
335,225,315,4.6375,2.20117948343926
335,225,315,4.645,0.505110880147118
335,225,315,4.6525,0.218587617170221
335,225,315,4.66,1.09995176277607
335,225,315,4.6675,-0.113407215508616
335,225,315,4.675,-1.48749741007776
335,225,315,4.6825,-2.07474946525192
335,225,315,4.69,-2.95101368072779
335,225,315,4.6975,2.79982142043497
335,225,315,4.705,1.75109083475036
335,225,315,4.7125,0.949536041075977
335,225,315,4.72,0.461183659136258
335,225,315,4.7275,-0.577399709694078
335,225,315,4.735,-1.88633271606523
335,225,315,4.7425,-2.38478721264794
335,225,315,4.75,2.77033044096431
335,225,315,4.7575,1.76869363171824
335,225,315,4.765,0.663459503274162
335,225,315,4.7725,-0.0461578709452464
335,225,315,4.78,-1.19134475298102
335,225,315,4.7875,-2.14320447169756
335,225,315,4.795,-2.83722025408438
335,225,315,4.8025,2.43204055844759
335,225,315,4.81,1.36038092922773
335,225,315,4.8175,0.360689156463749
335,225,315,4.825,-0.82738612694095
335,225,315,4.8325,-1.65934363150806
335,225,315,4.84,-2.72661982751024
335,225,315,4.8475,2.4957528750471
335,225,315,4.855,1.46049472079659
335,225,315,4.8625,0.282297086836699
