Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
335,325,315,4,-1.2159824718147
335,325,315,4.0075,-2.20699673788549
335,325,315,4.015,3.00002123594619
335,325,315,4.0225,2.01627516860372
335,325,315,4.03,1.11462503025106
335,325,315,4.0375,0.154553282335501
335,325,315,4.045,-0.896869431315632
335,325,315,4.0525,-1.85954096511662
335,325,315,4.06,-2.64654229622325
335,325,315,4.0675,2.74579337653684
335,325,315,4.075,1.80614033606512
335,325,315,4.0825,0.858627915951313
335,325,315,4.09,-0.235101294133564
335,325,315,4.0975,-1.2056930741351
335,325,315,4.105,-2.08555506727213
335,325,315,4.1125,3.12683385948436
335,325,315,4.12,2.30437817184005
335,325,315,4.1275,1.24195389199658
335,325,315,4.135,0.248253979118179
335,325,315,4.1425,-0.407869767538062
335,325,315,4.15,-1.21515849786455
335,325,315,4.1575,-2.08226794183585
335,325,315,4.165,-3.1054193217404
335,325,315,4.1725,2.51493499410956
335,325,315,4.18,1.86805983148259
335,325,315,4.1875,0.813685866378967
335,325,315,4.195,-0.10719368488047
335,325,315,4.2025,-1.07273138195996
335,325,315,4.21,-2.19691985255399
335,325,315,4.2175,-2.63822588515914
335,325,315,4.225,3.11290531140727
335,325,315,4.2325,2.55441657423538
335,325,315,4.24,1.69085813638383
335,325,315,4.2475,0.609630385433224
335,325,315,4.255,-0.171643156994415
335,325,315,4.2625,-1.19316770698854
335,325,315,4.27,-2.10510591652838
335,325,315,4.2775,-3.07879517993193
335,325,315,4.285,2.16292514290358
335,325,315,4.2925,1.17152710700275
335,325,315,4.3,0.388633337427027
335,325,315,4.3075,-0.491273052505882
335,325,315,4.315,-1.59838066778355
335,325,315,4.3225,-2.59006785732869
335,325,315,4.33,2.68225859689486
335,325,315,4.3375,1.63379763686173
335,325,315,4.345,0.632045551957488
335,325,315,4.3525,-0.516859547722205
335,325,315,4.36,-1.52101477198129
335,325,315,4.3675,-2.67453682729855
335,325,315,4.375,2.61619186931633
335,325,315,4.3825,1.67293977974174
335,325,315,4.39,0.635462970420186
335,325,315,4.3975,-0.238305638428708
335,325,315,4.405,-1.13696738175597
335,325,315,4.4125,-2.27753095915346
335,325,315,4.42,-3.0266240556162
335,325,315,4.4275,1.86989973876278
335,325,315,4.435,1.54922472340541
335,325,315,4.4425,0.333828940843297
335,325,315,4.45,-0.988145306666714
335,325,315,4.4575,-0.0772613444411243
335,325,315,4.465,0.269229468134126
335,325,315,4.4725,-0.623089216631577
335,325,315,4.48,-1.94048056273639
335,325,315,4.4875,-2.75194703687269
335,325,315,4.495,2.50705566501156
335,325,315,4.5025,1.43193989547594
335,325,315,4.51,0.318969455733323
335,325,315,4.5175,-0.557807044931824
335,325,315,4.525,-1.63529658927927
335,325,315,4.5325,-2.62066411995124
335,325,315,4.54,2.58365009453475
335,325,315,4.5475,1.60190346466572
335,325,315,4.555,0.813874642819344
335,325,315,4.5625,-0.0759404957815967
335,325,315,4.57,-1.30577912239294
335,325,315,4.5775,-2.31270736144825
335,325,315,4.585,2.9971272484782
335,325,315,4.5925,1.8843991005883
335,325,315,4.6,0.90168396274861
335,325,315,4.6075,-0.144037482229478
335,325,315,4.615,-1.18133623980955
335,325,315,4.6225,-2.40927406408928
335,325,315,4.63,2.84668890085079
335,325,315,4.6375,1.76143964542239
335,325,315,4.645,0.547266137220047
335,325,315,4.6525,-0.300090033825426
335,325,315,4.66,1.73090024784667
335,325,315,4.6675,-0.424053459591999
335,325,315,4.675,-0.922196495689211
335,325,315,4.6825,-2.01677023748667
