Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
235,275,315,4,-1.42211133505664
235,275,315,4.0075,-2.35041810522358
235,275,315,4.015,2.99316666433172
235,275,315,4.0225,1.92760984833028
235,275,315,4.03,0.993840076366058
235,275,315,4.0375,0.0592399524460376
235,275,315,4.045,-1.00023123046045
235,275,315,4.0525,-1.96723122731205
235,275,315,4.06,-2.76677541392338
235,275,315,4.0675,2.61109259675876
235,275,315,4.075,1.7530935333533
235,275,315,4.0825,0.760482487419864
235,275,315,4.09,-0.307768154437005
235,275,315,4.0975,-1.234638522078
235,275,315,4.105,-2.22106812386512
235,275,315,4.1125,2.98374354751986
235,275,315,4.12,2.12758175866445
235,275,315,4.1275,1.11410699846093
235,275,315,4.135,0.159506616149219
235,275,315,4.1425,-0.77760740131417
235,275,315,4.15,-1.35467042947035
235,275,315,4.1575,-2.31768474157797
235,275,315,4.165,2.90544489055342
235,275,315,4.1725,2.10524302338981
235,275,315,4.18,1.25632792019264
235,275,315,4.1875,0.780803391184671
235,275,315,4.195,-0.0553683425877169
235,275,315,4.2025,-1.37193902857133
235,275,315,4.21,-2.42566430610177
235,275,315,4.2175,-2.26167007003128
235,275,315,4.225,2.76282103021893
235,275,315,4.2325,2.21093928496441
235,275,315,4.24,1.54106891372828
235,275,315,4.2475,0.584083682891642
235,275,315,4.255,-0.359306036724513
235,275,315,4.2625,-1.31644021135249
235,275,315,4.27,-2.29956839854217
235,275,315,4.2775,2.98766061532201
235,275,315,4.285,1.97358320539272
235,275,315,4.2925,1.05089624877187
235,275,315,4.3,0.214035698722045
235,275,315,4.3075,-0.689468746728808
235,275,315,4.315,-1.74505494517454
235,275,315,4.3225,-2.75570961057699
235,275,315,4.33,2.62156347778063
235,275,315,4.3375,1.65942039548871
235,275,315,4.345,0.529670510681195
235,275,315,4.3525,-0.602498041992677
235,275,315,4.36,-1.6668924259385
235,275,315,4.3675,-2.66661759730829
235,275,315,4.375,2.55689288921793
235,275,315,4.3825,1.5732744170295
235,275,315,4.39,0.581598084014308
235,275,315,4.3975,-0.43866452375012
235,275,315,4.405,-1.31467348772511
235,275,315,4.4125,-2.38583641030342
235,275,315,4.42,2.70359632110286
235,275,315,4.4275,1.70007699913657
235,275,315,4.435,1.05693013398909
235,275,315,4.4425,0.704817915805814
235,275,315,4.45,0.656754182124418
235,275,315,4.4575,0.473373309060527
235,275,315,4.465,-0.212830619740974
235,275,315,4.4725,-1.22077539614727
235,275,315,4.48,-2.38144225283734
235,275,315,4.4875,-3.04262922692656
235,275,315,4.495,2.19784110246656
235,275,315,4.5025,1.36828526598725
235,275,315,4.51,0.0514748028469319
235,275,315,4.5175,-0.856208549590805
235,275,315,4.525,-1.90787352404571
235,275,315,4.5325,-2.93538923061772
235,275,315,4.54,2.49464120406411
235,275,315,4.5475,1.48189063350538
235,275,315,4.555,0.528216031856752
235,275,315,4.5625,-0.236943025401373
235,275,315,4.57,-1.38179122569031
235,275,315,4.5775,-2.28803437931714
235,275,315,4.585,3.0570599583872
235,275,315,4.5925,1.86466317177509
235,275,315,4.6,0.694832737155878
235,275,315,4.6075,-0.23296607916143
235,275,315,4.615,-1.2287492266823
235,275,315,4.6225,-2.44177616629467
235,275,315,4.63,2.83543711042179
