Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
285,325,315,4,-1.56241961826428
285,325,315,4.0075,-2.48327093509357
285,325,315,4.015,2.79632109973093
285,325,315,4.0225,1.81534356947942
285,325,315,4.03,0.921844070423455
285,325,315,4.0375,-0.0450784137575036
285,325,315,4.045,-0.914977093337484
285,325,315,4.0525,-1.82365827104415
285,325,315,4.06,-2.7770759424012
285,325,315,4.0675,2.70636133254236
285,325,315,4.075,1.81083889684895
285,325,315,4.0825,0.831419386815565
285,325,315,4.09,-0.211084873261326
285,325,315,4.0975,-1.07249897147718
285,325,315,4.105,-2.11106862217545
285,325,315,4.1125,-3.02174505507012
285,325,315,4.12,2.36976842731183
285,325,315,4.1275,1.36337921966313
285,325,315,4.135,0.500599028870118
285,325,315,4.1425,-0.299782526804411
285,325,315,4.15,-1.21230949438516
285,325,315,4.1575,-2.16701076093625
285,325,315,4.165,-2.91673266638807
285,325,315,4.1725,2.56795432863688
285,325,315,4.18,1.82475190919791
285,325,315,4.1875,0.654639945917938
285,325,315,4.195,-0.0581676453548639
285,325,315,4.2025,-1.16668726513172
285,325,315,4.21,-2.09422309856116
285,325,315,4.2175,-2.80775415119646
285,325,315,4.225,2.67182294443233
285,325,315,4.2325,1.65084282287077
285,325,315,4.24,0.793935786113183
285,325,315,4.2475,-0.098631218616963
285,325,315,4.255,-0.785499655125347
285,325,315,4.2625,-1.68555525400763
285,325,315,4.27,-2.50994325307505
285,325,315,4.2775,2.76786485208364
285,325,315,4.285,1.82768722691776
285,325,315,4.2925,1.0676045618426
285,325,315,4.3,0.128047356298013
285,325,315,4.3075,-0.842412526130081
285,325,315,4.315,-1.86667387851453
285,325,315,4.3225,-2.80275330460773
285,325,315,4.33,2.60750511959303
285,325,315,4.3375,1.53654720206455
285,325,315,4.345,0.547272554303238
285,325,315,4.3525,-0.475039699111887
285,325,315,4.36,-1.48897168578062
285,325,315,4.3675,-2.56360122038017
285,325,315,4.375,2.70006734319808
285,325,315,4.3825,1.78900569908352
285,325,315,4.39,0.96829658861941
285,325,315,4.3975,-0.0854209278090548
285,325,315,4.405,-1.05425987523771
285,325,315,4.4125,-1.98121353458419
285,325,315,4.42,-2.87194879568825
285,325,315,4.4275,2.53252281210842
285,325,315,4.435,1.89621091904126
285,325,315,4.4425,1.03641556683249
285,325,315,4.45,0.235541405205979
285,325,315,4.4575,-0.36367896853855
285,325,315,4.465,-1.15659854647977
285,325,315,4.4725,-2.1906931320269
285,325,315,4.48,-2.91448127613231
285,325,315,4.4875,2.53794289981603
285,325,315,4.495,1.58182438620245
285,325,315,4.5025,1.02530446800638
285,325,315,4.51,-0.215903199897601
285,325,315,4.5175,-1.14638392874749
285,325,315,4.525,-2.12711495603702
285,325,315,4.5325,3.13901144487821
285,325,315,4.54,2.31144286710894
285,325,315,4.5475,1.40219221432361
285,325,315,4.555,0.385499028829103
285,325,315,4.5625,-0.489682296871987
285,325,315,4.57,-1.46786380776639
285,325,315,4.5775,-2.56629821808272
285,325,315,4.585,2.90137498273228
285,325,315,4.5925,1.78641467574382
285,325,315,4.6,0.786981887795175
285,325,315,4.6075,-0.0474040428377096
285,325,315,4.615,-1.16619458053436
285,325,315,4.6225,-2.02406368009132
285,325,315,4.63,-2.75398853488877
285,325,315,4.6375,2.51947783451433
285,325,315,4.645,2.0652682731074
285,325,315,4.6525,1.32341341155723
285,325,315,4.66,0.549948727858341
285,325,315,4.6675,-0.023727402287973
285,325,315,4.675,-1.08097650410054
285,325,315,4.6825,-1.89261392628768
285,325,315,4.69,-2.97247288443919
285,325,315,4.6975,2.40986902633157
285,325,315,4.705,1.41758001226572
285,325,315,4.7125,0.349201896127192
285,325,315,4.72,-0.49815978434043
285,325,315,4.7275,-1.28614585614347
285,325,315,4.735,-2.39098587408058
285,325,315,4.7425,-3.06440789108638
285,325,315,4.75,2.00711500693706
285,325,315,4.7575,1.43128244365369
285,325,315,4.765,0.386329689639663
285,325,315,4.7725,-0.45750399742284
285,325,315,4.78,-1.37349285741924
285,325,315,4.7875,-2.46906989508802
285,325,315,4.795,3.10983984177589
285,325,315,4.8025,2.00027355327861
285,325,315,4.81,1.02807372737087
285,325,315,4.8175,0.0973202968998203
285,325,315,4.825,-0.770635396461285
285,325,315,4.8325,-1.64576399739942
285,325,315,4.84,-2.69476245946593
285,325,315,4.8475,2.49104576377051
285,325,315,4.855,1.41872566398681
285,325,315,4.8625,0.463509474772183
285,325,315,4.87,-0.631186786595845
285,325,315,4.8775,-1.34111680386501
285,325,315,4.885,-2.24887418671006
285,325,315,4.8925,3.07145090770836
285,325,315,4.9,1.74408962048534
285,325,315,4.9075,1.27349047819904
285,325,315,4.915,0.417317782781151
285,325,315,4.9225,-0.627867681358205
285,325,315,4.93,-1.20803113950879
285,325,315,4.9375,-1.97469498674436
285,325,315,4.945,1.20019251862598
285,325,315,4.9525,2.95996431011466
285,325,315,4.96,3.10437901113902
285,325,315,4.9675,1.71285870057226
285,325,315,4.975,1.13007029040651
285,325,315,4.9825,0.148818692291421
285,325,315,4.99,-0.752472374985254
285,325,315,4.9975,-1.65179423913907
285,325,315,5.005,-2.79081250792838
285,325,315,5.0125,2.79262841298576
285,325,315,5.02,1.82747707066394
285,325,315,5.0275,0.803226753884121
285,325,315,5.035,-0.312317737212897
285,325,315,5.0425,-1.34899674461719
285,325,315,5.05,-2.27739088659862
285,325,315,5.0575,2.99738159803238
285,325,315,5.065,1.91984554554575
285,325,315,5.0725,1.13699726703561
285,325,315,5.08,0.116238142762093
285,325,315,5.0875,-0.943919105376265
285,325,315,5.095,-2.00793990266197
285,325,315,5.1025,-3.10531028087929
285,325,315,5.11,2.23937508386535
285,325,315,5.1175,1.41033731926712
285,325,315,5.125,0.302731081490609
285,325,315,5.1325,-0.662064237211397
285,325,315,5.14,-1.51055404554517
