Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
285,325,315,4,-1.47343239623341
285,325,315,4.0075,-2.4207327050879
285,325,315,4.015,2.84774087660538
285,325,315,4.0225,1.81068408315508
285,325,315,4.03,0.891303138832786
285,325,315,4.0375,-0.148538684356222
285,325,315,4.045,-1.08591990882443
285,325,315,4.0525,-2.0041113535139
285,325,315,4.06,-2.81011732028415
285,325,315,4.0675,2.56750497534997
285,325,315,4.075,1.58498859537794
285,325,315,4.0825,0.668874855009909
285,325,315,4.09,-0.469404444058314
285,325,315,4.0975,-1.29004688415138
285,325,315,4.105,-2.28314749628647
285,325,315,4.1125,2.99686737780054
285,325,315,4.12,2.04023202407087
285,325,315,4.1275,1.13163795833532
285,325,315,4.135,0.101261456793222
285,325,315,4.1425,-0.704149809468964
285,325,315,4.15,-1.5709023658503
285,325,315,4.1575,-2.53222319996499
285,325,315,4.165,-3.07249223599385
285,325,315,4.1725,2.27532497604401
285,325,315,4.18,1.55764819915871
285,325,315,4.1875,0.542921940550947
285,325,315,4.195,-0.3897600819856
285,325,315,4.2025,-1.35468707842796
285,325,315,4.21,-2.27391536308958
285,325,315,4.2175,-2.52036937902824
285,325,315,4.225,2.53252190060033
285,325,315,4.2325,2.30241013044363
285,325,315,4.24,1.33632671997836
285,325,315,4.2475,0.349552765881112
285,325,315,4.255,-0.558468300006339
285,325,315,4.2625,-1.44702215104509
285,325,315,4.27,-2.51083626334625
285,325,315,4.2775,2.72382846108935
285,325,315,4.285,1.82388997339806
285,325,315,4.2925,0.959885983014382
285,325,315,4.3,0.0865815286627758
285,325,315,4.3075,-0.894464568021691
285,325,315,4.315,-1.80635823924925
285,325,315,4.3225,-2.72031979247755
285,325,315,4.33,2.46940556021759
285,325,315,4.3375,1.492416491576
285,325,315,4.345,0.430083441675963
285,325,315,4.3525,-0.665538158290204
285,325,315,4.36,-1.76838099101714
285,325,315,4.3675,-2.69847286487694
285,325,315,4.375,2.60707369984838
